COVID-19 Vaccinations in the United States
Date generated: Mon Mar 08 2021 00:20:42 GMT-0600 (CST)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with 1+ Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,People with 2 Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence
New Hampshire,496675,36528,44970,382103,28102,381451,34537,278812,20.5,278332,25.2,117145,8.6,116997,10.6
New Jersey,3070400,34568,44219,2534361,28533,2531549,36459,1749281,19.7,1747168,25.2,878218,9.9,877516,12.6
New Mexico,901345,42986,55605,814029,38822,811437,50058,528061,25.2,525684,32.4,294681,14.1,294012,18.1
Nevada,1033680,33559,43295,829262,26923,829027,34723,527092,17.1,526923,22.1,282424,9.2,282361,11.8
New York State,7010045,36035,45445,5237597,26924,5234961,33938,3438817,17.7,3436543,22.3,1692014,8.7,1691614,11
Ohio,4057505,34712,44534,3131288,26788,3129950,34353,2001222,17.1,2000326,22,1103680,9.4,1103240,12.1
Oklahoma,1741270,44005,57951,1278427,32308,1277387,42512,802893,20.3,802029,26.7,458310,11.6,458181,15.2
Oregon,1420125,33670,42377,1172840,27807,1171349,34953,742710,17.6,741825,22.1,420302,10,419715,12.5
Pennsylvania,4641045,36253,45646,3319263,25928,3316898,32623,2274225,17.8,2272438,22.4,1038966,8.1,1038391,10.2
Puerto Rico,1250670,39161,47718,628400,19676,628217,23969,399427,12.5,399276,15.2,229847,7.2,229815,8.8
Rhode Island,387365,36566,45313,319369,30147,319232,37343,229095,21.6,228998,26.8,91305,8.6,91263,10.7
Republic of Palau,14600,81532,104532,8185,45708,8185,58602,5147,28.7,5147,36.9,3129,17.5,3129,22.4
South Carolina,1642615,31903,40684,1347330,26168,1346287,33344,851400,16.5,850662,21.1,488020,9.5,487724,12.1
South Dakota,399640,45174,59866,322959,36507,322535,48316,211458,23.9,211152,31.6,111664,12.6,111553,16.7
Tennessee,2305870,33765,43351,1634598,23936,1634319,30725,1041609,15.3,1041375,19.6,564759,8.3,564701,10.6
Texas,9250505,31903,42834,6938167,23928,6913650,32013,4313322,14.9,4297553,19.9,2351296,8.1,2342700,10.8
Utah,993140,30978,43659,833167,25988,832254,36586,482511,15.1,481856,21.2,212699,6.6,212558,9.3
Virginia,2881325,33757,43168,2445932,28656,2444169,36619,1567671,18.4,1566346,23.5,863819,10.1,863443,12.9
Veterans Health,3195405,N/A,N/A,2658215,N/A,2658194,N/A,1702139,N/A,1702124,N/A,954657,N/A,954651,N/A
Virgin Islands,40420,38613,49504,23033,22003,22995,28163,15047,14.4,15010,18.4,7522,7.2,7519,9.2
Vermont,261100,41844,51198,191529,30694,191398,37530,122891,19.7,122798,24.1,64474,10.3,64430,12.6
Washington,2657880,34904,44657,2143916,28154,2142660,36000,1367009,18,1366101,23,762728,10,762382,12.8
Wisconsin,1924865,33059,42251,1770069,30401,1769296,38836,1128307,19.4,1127745,24.8,627022,10.8,626809,13.8
West Virginia,723565,40374,50508,601440,33560,600901,41945,363429,20.3,363078,25.3,229046,12.8,228889,16
Wyoming,236065,40788,53045,178035,30762,177956,39988,110971,19.2,110911,24.9,64499,11.1,64481,14.5
