COVID-19 Vaccinations in the United States
Date generated: Tue May 11 2021 12:19:24 GMT-0500 (CDT)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Maine,1520230,113095,138787,1277884,95066,1264302,115422,769063,57.2,758524,69.2,598235,44.5,595134,54.3,760110,664520,95600,0,81276,560022,636413,173,236316,280731,81130,58,236289,277692,81100,53,517105,57.2,758524,69.2,38.5,514034,46.9,769063,261315,91.6,242593,85,110551,113280,18747,15,483019,169323,532919
Marshall Islands,51300,87823,112594,28404,48626,28347,62216,15490,26.5,15448,33.9,12976,22.2,12961,28.4,0,40500,10800,0,95,28309,0,0,12874,4,98,0,12859,4,98,0,12878,26.5,15448,33.9,22,12863,28.2,15490,949,9.6,800,8.1,791,0,9,0,1740,17523,516616
Michigan,10065270,100785,128336,7735604,77458,7627200,97249,4455395,44.6,4383187,55.9,3621896,36.3,3584144,45.7,5253690,4213080,598500,0,250079,3292877,4191361,1287,1461630,1904863,254856,547,1461351,1867518,254730,545,3367040,44.6,4383187,55.9,33.7,3329414,42.5,4455395,1426309,80.8,1299425,73.6,652225,597605,49225,370,2649476,150078,570141
Minnesota,5348340,94835,123334,4753424,84286,4679545,107911,2798792,49.6,2745116,63.3,2187582,38.8,2166873,50,2850900,2208440,289000,0,209067,1985310,2558761,286,867675,1108567,211249,91,867513,1088154,211117,89,1976333,49.6,2745116,63.3,35,1955756,45.1,2798792,814736,88.5,745987,81.1,315803,390688,39471,25,1505835,163610,581100
Missouri,5508655,89755,115562,4286786,69847,4241747,88984,2400614,39.1,2372593,49.8,1895142,30.9,1880970,39.5,2950155,2267300,291200,0,129983,1680934,2475508,361,717760,1046810,130513,59,717607,1032910,130396,57,1764629,39.1,2372593,49.8,28.8,1750574,36.7,2400614,817497,77,710764,66.9,324422,360002,26316,24,1541552,145150,518688
Northern Mariana Islands,72330,127158,163023,43058,75697,42092,94870,23351,41.1,22741,51.3,19767,34.8,19411,43.8,49530,20200,2600,0,54,5626,37378,0,2300,17409,58,0,2300,17053,58,0,19709,41.1,22741,51.3,34.6,19353,43.6,23351,2504,25.9,2320,24,348,1931,41,0,4785,49483,747983
Mississippi,2496365,83879,109607,1655786,55635,1646128,72276,951856,32,945459,41.5,747996,25.1,744632,32.7,1229865,1109500,157000,0,46478,793629,814812,867,349179,353277,45514,26,349085,350047,45474,26,702482,32,945459,41.5,23.6,699158,30.7,951856,356248,73.2,305634,62.8,162643,130573,12409,9,644284,132380,512924
Montana,1024695,95875,121960,801733,75014,791946,94258,450385,42.1,444375,52.9,372268,34.8,368539,43.9,500175,460120,64400,0,24748,377498,399264,223,169225,178725,24249,69,169159,175078,24233,69,348019,42.1,444375,52.9,32.6,344306,41,450385,162959,78.9,146866,71.1,71315,69770,5741,40,303129,146839,496372
North Carolina,10441180,99553,127528,7524070,71739,7418381,90608,4257200,40.6,4190563,51.2,3428207,32.7,3389114,41.4,5530200,4316080,594900,0,250905,3114919,4157917,329,1334092,1846522,247558,35,1332625,1809780,246674,35,3180649,40.6,4190563,51.2,30.3,3142440,38.4,4257200,1362587,77.8,1211889,69.2,569741,615059,27064,25,2595812,148239,596266
North Dakota,654800,85925,112530,582564,76446,575366,98879,305803,40.1,301925,51.9,262443,34.4,259732,44.6,319800,299500,35500,0,22845,255418,304301,0,110724,131496,20222,1,110620,128962,20149,1,242221,40.1,301925,51.9,31.8,239583,41.2,305803,97811,81.6,86075,71.8,42613,40538,2924,0,189119,157803,546372
Nebraska,1851220,95700,126941,1556413,80459,1535009,105258,871251,45,857205,58.8,734231,38,726725,49.8,983580,766540,101100,0,54984,640716,858029,2684,285287,392932,55228,784,285222,385528,55194,781,679003,45,857205,58.8,35.1,671531,46,871251,265609,85,244184,78.1,118046,121495,4084,559,513024,164190,592470
New Hampshire,1422785,104639,128822,1151245,84668,1138663,103097,782578,57.6,771863,69.9,451731,33.2,450426,40.8,716625,602260,103900,0,52892,487795,610523,35,190203,207726,53786,16,190071,206577,53762,16,397945,57.6,771863,69.9,29.3,396664,35.9,782578,243668,96,194727,76.7,86273,96399,12044,11,415326,163602,560452
New Jersey,9490755,106852,136683,7999599,90063,7886468,113579,4841583,54.5,4761701,68.6,3684900,41.5,3650392,52.6,5042115,3904740,543900,0,305293,3425187,4268644,475,1446993,1930359,307520,28,1446789,1896181,307397,25,3377380,54.5,4761701,68.6,38,3342995,48.1,4841583,1289804,87.4,1107005,75,517485,520090,69416,14,2280341,154543,643208
New Mexico,2112295,100738,130309,1938516,92450,1907583,117680,1114569,53.2,1091685,67.3,878160,41.9,868104,53.6,1070355,912540,129400,0,50899,869910,1015281,2426,367012,460489,49968,691,366806,450725,49882,691,828192,53.2,1091685,67.3,39.5,818222,50.5,1114569,333133,88.2,285787,75.7,130540,141371,13466,410,601176,159207,559391
Nevada,2636770,85605,110440,2227825,72328,2202631,92256,1278860,41.5,1261989,52.9,981087,31.9,972985,40.8,1374750,1098420,163600,0,81836,928783,1217206,0,387981,512480,80621,5,387931,504453,80596,5,900466,41.5,1261989,52.9,29.2,892389,37.4,1278860,386007,77.8,333731,67.3,159553,158139,16035,4,722161,145605,531637
New York State,20122975,103441,130455,17168705,88255,16953177,109905,9791125,50.3,9648346,62.5,7765458,39.9,7692319,49.9,10536435,8481540,1105000,0,653035,7268328,9244114,3228,3106826,4019477,638498,657,3106260,3947243,638175,641,7126960,50.3,9648346,62.5,36.6,7054144,45.7,9791125,2657466,80.6,2322007,70.4,1123454,1070032,128156,365,4878505,148006,610500
Ohio,11024855,94317,121005,8972899,76763,8849755,97132,4898308,41.9,4823560,52.9,4197239,35.9,4150937,45.6,5834595,4590660,599600,0,317333,3833866,4813141,8559,1701006,2187192,306498,2543,1700814,2141215,306374,2534,3890741,41.9,4823560,52.9,33.3,3844563,42.2,4898308,1637975,80,1514576,74,693237,756925,62945,1469,3141294,153509,538765
Oklahoma,3834415,96903,127613,2792368,70568,2759946,91853,1563343,39.5,1544127,51.4,1245782,31.5,1233199,41,1957995,1664020,212400,0,75354,1305620,1411356,38,560411,611004,74345,22,560270,598603,74304,22,1171437,39.5,1544127,51.4,29.6,1158895,38.6,1563343,511941,80.6,433944,68.3,228730,191728,13480,6,942329,148367,603719
Oregon,4219185,100034,125902,3432832,81390,3383843,100975,2046143,48.5,2008936,59.9,1509212,35.8,1496728,44.7,2161965,1799520,257700,0,110590,1454113,1866321,1808,613989,785495,109415,313,613237,774120,109062,309,1399797,48.5,2008936,59.9,33.2,1387666,41.4,2046143,625494,81.6,567569,74.1,258838,273743,34825,163,1151549,150317,550750
Pennsylvania,13571705,106012,133483,11005196,85965,10891525,107122,6751378,52.7,6662593,65.5,4662628,36.4,4636855,45.6,6863805,5748200,959700,0,389374,4708265,5907270,287,1852657,2415449,394298,224,1852039,2390486,394110,220,4268330,52.7,6662593,65.5,33.3,4242745,41.7,6751378,2275082,95.1,1737834,72.6,816024,866778,54907,125,3971267,165928,567056
Puerto Rico,3477130,108875,132666,2195731,68752,2171465,82850,1373117,43,1352842,51.6,915787,28.7,911005,34.8,1787370,1501160,188600,0,73162,888987,1233303,279,330804,511653,73312,18,330735,507029,73223,18,842475,43,1352842,51.6,26.4,837782,32,1373117,411329,75.8,334227,61.6,155139,166941,12144,3,729801,134419,640440
Rhode Island,1289815,121754,150879,996123,94031,982939,114982,585277,55.2,575078,67.3,441665,41.7,438911,51.3,713115,516100,60600,0,39733,415470,540891,29,175217,226835,39605,8,175194,224118,39591,8,402060,55.2,575078,67.3,38,399320,46.7,585277,172393,92.2,158615,84.8,73190,80333,5089,3,327009,174828,689571
Republic of Palau,24600,137376,176129,20625,115178,20625,147670,12975,72.5,12975,92.9,9130,51,9130,65.4,0,20800,3800,0,1299,19325,1,0,7813,18,1299,0,7813,18,1299,0,7831,72.5,12975,92.9,43.7,7831,56.1,12975,1610,52.9,1503,49.4,1344,8,151,0,2920,95926,808147
South Carolina,4728205,91833,117106,3464060,67280,3428030,84904,1955848,38,1932761,47.9,1562287,30.3,1549140,38.4,2480205,1967200,280800,0,107118,1408303,1947578,1061,586949,870596,104533,209,586311,858328,104292,209,1457754,38,1932761,47.9,28.3,1444848,35.8,1955848,758346,80.9,650781,69.5,272767,358304,19567,143,1393525,148718,504599
South Dakota,910375,102907,136374,732173,82763,723469,108375,403535,45.6,398192,59.6,351404,39.7,348014,52.1,439335,414740,56300,0,19939,334377,377844,13,155597,175685,20112,10,155560,172339,20105,10,331292,45.6,398192,59.6,37.4,327909,49.1,403535,135481,89.2,125221,82.5,64814,57513,2889,5,254562,167617,599440
Tennessee,5671770,83052,106630,4368871,63974,4329080,81387,2454282,35.9,2428537,45.7,1911401,28,1897907,35.7,2926170,2398100,347500,0,118885,1892315,2350981,6690,801015,992506,115923,1957,800827,979330,115796,1954,1795478,35.9,2428537,45.7,26.3,1782111,33.5,2454282,851241,74.4,731240,64,375780,333071,21155,1234,1608153,140647,496047
Texas,27376675,94416,126767,20304544,70026,19987212,92550,11537922,39.8,11353650,52.6,8806632,30.4,8665981,40.1,14353755,11284120,1738800,0,702926,8855711,10745122,785,3671456,4446568,687977,631,3612819,4375552,676989,621,8120667,39.8,11353650,52.6,28,7990972,37,11537922,2931786,78.5,2562730,68.6,1068394,1293951,200201,184,5473471,146576,733128
Utah,2733780,85272,120178,2263750,70611,2216635,97444,1312235,40.9,1278584,56.2,842220,26.3,829424,36.5,1389960,1190120,153700,0,88682,982129,1192939,0,335396,421244,85579,1,335263,408682,85478,1,756641,40.9,1278584,56.2,23.6,743946,32.7,1312235,308882,84.4,208061,56.9,91361,105977,10723,0,577808,157926,747196
Virginia,8689335,101802,130184,7304153,85574,7182313,107605,4266751,50,4179266,62.6,3218647,37.7,3183752,47.7,4627935,3582800,478600,0,248534,3004137,4049547,1935,1275150,1696784,246106,607,1273308,1664538,245301,605,2972541,50,4179266,62.6,34.8,2938451,44,4266751,1154359,84.9,1003678,73.9,482114,469357,51823,384,2119889,156000,639436
Veterans Health,6237435,N/A,N/A,5074495,N/A,5073759,N/A,2718844,N/A,2718338,N/A,2478462,N/A,2478215,N/A,2732535,2984700,520200,0,125768,2648226,2300499,2,1252809,1099996,125656,1,1252779,1099797,125638,1,2352806,N/A,2718338,N/A,0,2352577,0,2718844,1444733,0,1359613,0,758730,557244,43638,1,2761667,0,0
Virgin Islands,68520,65457,83919,65578,62646,64873,79453,34937,33.4,34541,42.3,28310,27,28052,34.4,46020,21700,800,0,396,21312,43870,0,9385,18508,417,0,9374,18263,415,0,27893,33.4,34541,42.3,26.6,27637,33.8,34937,11547,64.9,9842,55.3,4062,5611,169,0,21348,119960,385030
Vermont,757120,121335,148460,639833,102539,632285,123981,386379,61.9,380097,74.5,270812,43.4,269596,52.9,374400,334420,48300,0,30082,280095,329112,544,108006,133284,29336,186,107987,132107,29316,186,241476,61.9,380097,74.5,38.7,240280,47.1,386379,120776,96.6,108454,86.7,53277,54077,978,122,234180,187286,605507
Washington,7942520,104302,133447,6455671,84777,6374132,107095,3805794,50,3745396,62.9,2819264,37,2798665,47,4167540,3334280,440700,0,222998,2744673,3484109,3891,1144971,1450511,222772,1010,1144743,1430269,222645,1008,2596492,50,3745396,62.9,34.1,2576020,43.3,3805794,1046409,86.5,954589,78.9,439858,474266,39813,652,1980926,163750,656557
Wisconsin,5555605,95417,121945,4993227,85758,4920709,108009,2755296,47.3,2710958,59.5,2306597,39.6,2280943,50.1,2834325,2424180,297100,0,184755,2132649,2675323,500,930824,1197576,177975,222,930652,1172195,177878,218,2128622,47.3,2710958,59.5,36.6,2103065,46.2,2755296,888858,87.4,835483,82.1,408559,408488,18344,92,1750307,172064,546143
West Virginia,1682345,93873,117435,1219648,68055,1194102,83353,660914,36.9,643398,44.9,573458,32,565710,39.5,803985,774460,103900,0,21317,587425,610891,15,268531,282518,22325,84,268333,275660,21635,82,551133,36.9,643398,44.9,30.8,544075,38,660914,261077,71.1,238425,65,123353,111509,3516,47,496271,135220,458391
Wyoming,490875,84815,110303,370014,63932,366974,82461,201174,34.8,199307,44.8,170130,29.4,169064,38,220935,237840,32100,0,12108,180100,177600,206,78285,80371,11435,39,78275,79319,11431,39,158695,34.8,199307,44.8,27.4,157633,35.4,201174,73229,73.8,67158,67.7,34899,30359,1884,16,138686,139834,494938
