COVID-19 Vaccinations in the United States
Date generated: Mon Apr 05 2021 19:47:34 GMT-0500 (CDT)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Dept of Defense,2696630,N/A,N/A,2093049,N/A,2030533,N/A,1321279,N/A,1279934,N/A,735704,N/A,719330,N/A,1457430,1157300,81900,0,26775,958962,1106913,399,322874,388970,23860,0,313072,383470,22788,0,711844,N/A,1279934,N/A,0,696542,0,1321279,139339,0,89624,0,30009,58557,1058,0,233898,0,0
Delaware,636065,65320,82585,516432,53035,497454,64588,338164,34.7,325061,42.2,178080,18.3,172046,22.3,328965,283000,24100,0,13324,218181,284775,152,70406,94017,13587,70,68873,90493,12656,24,164493,34.7,325061,42.2,16.9,159390,20.7,338164,152436,80.7,104496,55.3,45002,54409,5069,16,258693,136943,336710
Florida,13882365,64636,80488,10567292,49201,10195911,59114,6554477,30.5,6333195,36.7,3854492,17.9,3694292,21.4,7142265,6167600,572500,0,274062,4940117,5338117,14996,1704159,1873524,271861,4948,1633394,1800635,255464,4799,3582631,30.5,6333195,36.7,16.7,3438828,19.9,6554477,3467086,77.1,2528799,56.2,1232214,1210051,82458,4076,6283665,139720,308680
Federated States of Micronesia,63000,60786,77930,25679,24776,25391,31408,15841,15.3,15677,19.4,9902,9.6,9776,12.1,0,61600,1400,0,0,25679,0,0,9881,20,1,0,9755,20,1,0,9901,15.3,15677,19.4,9.6,9775,12.1,15841,1468,8.3,1047,5.9,1042,5,0,0,2485,14104,357569
Georgia,6237495,58748,76878,4236864,39905,4135898,50975,2791236,26.3,2710587,33.4,1415768,13.3,1392617,17.2,3120195,2885600,231700,0,82031,2083524,2071043,266,704713,631028,79855,172,698446,616121,77879,171,1335913,26.3,2710587,33.4,12.6,1314738,16.2,2791236,1059240,69.8,786626,51.9,451798,324438,10285,105,1904130,125523,411186
Guam,129900,78363,100465,91896,55437,89492,69213,58778,35.5,56480,43.7,32837,19.8,32673,25.3,74100,53200,2600,0,502,40640,50754,0,16340,15999,498,0,16309,15923,441,0,32339,35.5,56480,43.7,19.5,32232,24.9,58778,12567,44.6,10117,35.9,4453,5623,41,0,22816,80962,460949
Hawaii,1011720,71456,90656,763772,53944,740927,66391,480013,33.9,464957,41.7,299014,21.1,290355,26,553020,424500,34200,0,10877,271795,387340,93760,106829,163043,11103,18039,104918,156600,10815,18022,287911,33.9,464957,41.7,20.3,279540,25,480013,170927,63.7,112774,42,48490,59776,3099,1409,278798,103855,376877
Iowa,1919805,60848,79062,1706823,54098,1644574,67727,1065588,33.8,1030395,42.4,683527,21.7,654320,26.9,951405,895300,73100,0,46099,857132,803473,119,339216,298194,46087,30,330024,280864,43403,29,637440,33.8,1030395,42.4,20.2,610917,25.2,1065588,443757,80.3,354029,64,187343,163201,3463,22,796817,144102,347191
Idaho,1027045,57471,76710,826653,46258,800340,59778,504809,28.2,488041,36.5,326938,18.3,315295,23.5,509145,478300,39600,0,19518,388361,418437,337,150251,157292,19293,102,146693,151173,17372,57,307645,28.2,488041,36.5,17.2,297923,22.3,504809,209543,72.1,172445,59.3,79209,88442,4763,31,380705,130975,353337
Indian Health Svc,1555025,74660,N/A,1027727,49343,1009962,N/A,631144,30.3,619014,N/A,400944,19.3,395354,N/A,650325,860900,43800,0,11568,575421,440738,0,211699,177806,11439,0,211596,172336,11422,0,389505,30.3,619014,N/A,18.7,383932,0,631144,137352,0,102055,0,57676,43113,1266,0,241075,0,0
Illinois,8021745,63304,81406,6592898,52028,6321595,64153,4370004,34.5,4189399,42.5,2346220,18.5,2241130,22.7,4089345,3587200,345200,0,157004,3013791,3418876,3227,1042031,1147887,155250,1052,1007295,1091852,141002,981,2190970,34.5,4189399,42.5,17.3,2100128,21.3,4370004,1550323,75.9,989728,48.4,468626,491970,28489,643,2508318,122762,392601
Indiana,3640170,54071,70488,3048583,45283,2970380,57518,1863295,27.7,1812299,35.1,1250217,18.6,1208268,23.4,1799070,1671200,169900,0,85047,1346425,1612374,4737,524592,638921,85094,1610,516808,619606,70291,1563,1165123,27.7,1812299,35.1,17.3,1137977,22,1863295,798782,73.6,686669,63.2,354449,321701,9404,1115,1496672,137848,335270
Kansas,1884795,64696,85167,1456012,49978,1403938,63439,988149,33.9,952821,43.1,559886,19.2,535150,24.2,912795,901400,70600,0,32127,725118,698501,266,277417,249367,32989,113,265551,238833,30654,112,526897,33.9,952821,43.1,18.1,504496,22.8,988149,384159,80.8,269266,56.6,134663,128068,6462,73,624627,131366,396393
Kentucky,2731745,61145,78843,2327458,52096,2246022,64824,1494867,33.5,1453580,42,903711,20.2,861370,24.9,1355445,1267000,109300,0,58027,1084290,1184960,181,404514,443245,55821,131,389650,419062,52533,125,847890,33.5,1453580,42,19,808837,23.3,1494867,554392,73.9,400621,53.4,176950,208097,15491,83,922558,122915,363959
Louisiana,2903390,62455,81529,2131488,45850,2089004,58661,1294498,27.8,1272897,35.7,855263,18.4,833402,23.4,1455090,1336700,111600,0,63270,956765,1110527,926,334705,458928,61177,453,326231,447724,59079,368,794086,27.8,1272897,35.7,17.1,774323,21.7,1294498,523892,70.7,438867,59.2,194948,231473,12368,78,970682,130992,391809
Massachusetts,4604300,66802,83115,4041785,58640,3856805,69621,2628913,38.1,2509005,45.3,1487084,21.6,1414888,25.5,2226900,2136900,240500,0,101032,1921239,2019448,66,693125,692722,101226,11,658575,661206,95097,10,1385858,38.1,2509005,45.3,20.1,1319791,23.8,2628913,979783,83.8,690848,59.1,309331,340165,41346,6,1629179,139326,393755
Maryland,3811300,63042,80902,3126025,51707,2956643,62761,2060046,34.1,1964874,41.7,1196806,19.8,1116974,23.7,1942200,1723300,145800,0,94675,1458838,1570580,1932,535852,567142,93276,536,504938,528842,82694,500,1103530,34.1,1964874,41.7,18.3,1034280,22,2060046,731389,76.2,499505,52.1,237304,234428,27536,237,1185211,123537,397260
Maine,914940,68065,83528,795748,59198,757701,69173,518694,38.6,497144,45.4,318678,23.7,294769,26.9,431340,425600,58000,0,34538,371172,389974,64,137391,146666,34601,20,130365,136949,27436,19,284077,38.6,497144,45.4,21.1,267333,24.4,518694,241324,84.6,178401,62.5,75484,90718,12192,7,405264,142066,320733
Marshall Islands,35800,61288,78574,21785,37295,21092,46293,12995,22.2,12669,27.8,8743,15,8373,18.4,0,35000,800,0,0,21785,0,0,8739,2,2,0,8369,2,2,0,8741,22.2,12669,27.8,15,8371,18.4,12995,840,8.5,594,6,592,0,2,0,1434,14441,360524
Michigan,6104840,61129,77839,4912079,49185,4740795,60447,3139123,31.4,3035133,38.7,1937375,19.4,1857181,23.7,3059940,2800000,244900,0,114146,2269472,2528461,0,832333,989373,115581,88,793258,957771,106071,81,1821794,31.4,3035133,38.7,18.2,1751110,22.3,3139123,1273978,72.2,1002405,56.8,480431,494914,26993,67,2224076,125981,345805
Minnesota,3365000,59667,77598,3073562,54499,2950314,68035,1959487,34.7,1883873,43.4,1224073,21.7,1165554,26.9,1669200,1560000,135800,0,92141,1404380,1576839,202,521858,608821,93344,50,499480,583601,82425,48,1130729,34.7,1883873,43.4,20,1083129,25,1959487,763439,82.9,618855,67.2,253026,333270,32540,19,1332631,144791,365609
Missouri,3766895,61376,79023,2853511,46494,2742995,57543,1750110,28.5,1690726,35.5,1077912,17.6,1028158,21.6,1934595,1681100,151200,0,63426,1189932,1599829,324,432408,581135,64324,45,406231,560080,61808,39,1013588,28.5,1690726,35.5,16.5,966350,20.3,1750110,726526,68.4,530062,49.9,240500,272571,16973,18,1278247,120358,354686
Northern Mariana Islands,61310,107785,138185,29797,52384,29263,65955,17362,30.5,16840,38,12455,21.9,12442,28,42510,17800,1000,0,34,4002,25761,0,1691,10729,35,0,1691,10716,35,0,12420,30.5,16840,38,21.8,12407,28,17362,2268,23.5,2101,21.7,309,1761,31,0,4340,44881,634023
Mississippi,1843015,61926,80920,1241033,41699,1214321,53317,771190,25.9,757916,33.3,500607,16.8,486554,21.4,884715,882900,75400,0,31599,620326,588361,747,239323,230421,30846,17,232781,223571,30187,15,469761,25.9,757916,33.3,15.8,456367,20,771190,323262,66.4,245020,50.3,128717,107569,8729,5,554241,113879,378681
Montana,722595,67609,86004,573480,53658,555724,66143,354742,33.2,344785,41,231002,21.6,222285,26.5,343395,350600,28600,0,12623,290791,269922,144,113444,104990,12525,43,109476,101137,11632,40,218477,33.2,344785,41,20.4,210653,25.1,354742,149678,72.5,115437,55.9,56093,55955,3366,23,260397,126139,350032
North Carolina,6564440,62590,80178,5099793,48625,4987984,60923,3262431,31.1,3187054,38.9,1908886,18.2,1868060,22.8,3414840,2893100,256500,0,137287,2191630,2770547,329,753067,1020590,135202,27,735503,1000219,132312,26,1773684,31.1,3187054,38.9,16.9,1735748,21.2,3262431,1271870,72.6,1039310,59.4,486223,535198,17869,20,2339443,133599,374877
North Dakota,490330,64343,84265,450780,59153,443538,76224,263818,34.6,259561,44.6,175389,23,171961,29.6,236730,236600,17000,0,13991,205426,231363,0,78259,84786,12344,0,77230,83118,11613,0,163045,34.6,259561,44.6,21.4,160348,27.6,263818,93362,77.9,78037,65.1,38594,37625,1818,0,177486,148096,409137
Nebraska,1271990,65756,87222,1024342,52954,990569,67925,644910,33.3,626469,43,402325,20.8,385096,26.4,624390,568900,78700,0,27773,466035,528606,1928,176439,196996,28357,533,170804,186965,26805,522,373968,33.3,626469,43,19.3,358291,24.6,644910,248044,79.4,201342,64.4,93156,105631,2148,407,452064,144680,407092
New Hampshire,843385,62027,76362,796674,58591,645971,58488,569781,41.9,423132,38.3,270185,19.9,264900,24,410085,397700,35600,0,16718,382791,397138,27,139561,112981,17637,6,137805,110613,16476,6,252548,41.9,423132,38.3,18.6,248424,22.5,569781,212357,83.6,144374,56.9,69895,65528,8948,3,337113,132793,332219
New Jersey,5517655,62120,79464,4909547,55274,4744852,68334,3266042,36.8,3156786,45.5,1910700,21.5,1844311,26.6,2809755,2489600,218300,0,120462,2296015,2492595,475,849637,939806,121246,11,826609,903492,114199,11,1789454,36.8,3156786,45.5,20.1,1730112,24.9,3266042,1094399,74.2,752753,51,344252,375946,32548,7,1772935,120155,373943
New Mexico,1514445,72225,93427,1374022,65529,1337021,82482,863155,41.2,838052,51.7,549244,26.2,533647,32.9,786045,668600,59800,0,28964,614658,728685,1715,220833,299785,28169,457,214957,292035,26207,448,521075,41.2,838052,51.7,24.9,507440,31.3,863155,292790,77.5,207120,54.9,91235,106599,9021,265,485217,128498,401065
Nevada,1770070,57467,74139,1482433,48129,1431226,59946,924577,30,898611,37.6,559150,18.2,531768,22.3,890370,810300,69400,0,37560,642125,802748,0,228887,293095,37166,2,221214,275979,34573,2,521984,30,898611,37.6,16.9,497195,20.8,924577,349792,70.5,263148,53.1,120851,133101,9195,1,621356,125280,356889
New York State,12718855,65381,82455,10640003,54694,10259316,66510,6691660,34.4,6472901,42,4091857,21,3898338,25.3,6588855,5642300,487700,0,297936,4864265,5476139,1663,1760617,2035962,294930,348,1683600,1950968,263495,275,3796927,34.4,6472901,42,19.5,3634843,23.6,6691660,2276358,69.1,1644543,49.9,772567,800459,71343,174,3855268,116963,385870
Ohio,7410125,63393,81331,5901310,50486,5675742,62295,3757736,32.1,3621174,39.7,2231979,19.1,2136618,23.5,3844425,3277600,288100,0,181823,2725815,2988602,5070,1008229,1044711,177624,1415,973956,997450,163901,1311,2054355,32.1,3621174,39.7,17.6,1972717,21.7,3757736,1498902,73.2,1196963,58.5,542783,609438,43867,875,2684299,131177,362120
Oklahoma,2838195,71726,94457,2122756,53646,2061549,68610,1315073,33.2,1280951,42.6,810376,20.5,782165,26,1384695,1351500,102000,0,40493,983518,1098712,33,353668,416487,40201,20,340354,403587,38223,1,770175,33.2,1280951,42.6,19.5,743942,24.8,1315073,477694,75.2,367914,57.9,191981,167972,7961,0,846225,133236,446867
Oregon,2552055,60508,76154,2066694,49000,1982000,59143,1315090,31.2,1265120,37.8,800917,19,760416,22.7,1269255,1174400,108400,0,50850,971787,1042823,1234,365826,384524,50359,208,344440,369845,45927,204,750558,31.2,1265120,37.8,17.8,714489,21.3,1315090,560671,73.2,341396,44.6,147044,168983,25266,103,870494,113630,333132
Pennsylvania,8174805,63856,80402,6756869,52780,6537241,64296,4505442,35.2,4371284,43,2424161,18.9,2324764,22.9,4172805,3700900,301100,0,152350,3065825,3538541,153,1023675,1244962,155391,133,995263,1184538,144835,128,2268770,35.2,4371284,43,17.7,2179929,21.4,4505442,1872151,78.2,1073468,44.9,505491,546479,21423,75,2929743,122411,341562
Puerto Rico,2102750,65841,80228,1178233,36892,1167058,44528,767642,24,758316,28.9,443903,13.9,440990,16.8,1066650,965100,71000,0,25019,475794,677165,255,167695,251096,25104,8,166666,249495,24821,8,418799,24,758316,28.9,13.1,416169,15.9,767642,322882,59.5,208245,38.4,91890,110983,5371,1,522132,96170,387298
Rhode Island,684165,64583,80032,626561,59145,595474,69657,380555,35.9,364203,42.6,259292,24.5,243583,28.5,344565,313600,26000,0,15835,292866,317836,24,119793,123778,15718,3,114698,114785,14097,3,243574,35.9,364203,42.6,23,229486,26.8,380555,157879,84.4,129333,69.1,59127,67738,2466,2,284903,152317,365774
Republic of Palau,21400,119506,153218,13429,74993,13429,96148,8456,47.2,8456,60.5,5299,29.6,5299,37.9,0,20800,600,0,191,13237,1,0,5094,14,191,0,5094,14,191,0,5108,47.2,8456,60.5,28.5,5108,36.6,8456,1454,47.8,1346,44.2,1251,8,87,0,2678,87976,703022
South Carolina,3053895,59314,75638,2328710,45229,2240681,55496,1500627,29.1,1455833,36.1,861028,16.7,817169,20.2,1587495,1337400,129000,0,58502,910870,1358283,1055,299294,504672,56857,205,278347,486215,52402,205,804171,29.1,1455833,36.1,15.6,764767,18.9,1500627,696671,74.3,524617,56,212137,301573,10768,139,1212614,129411,325915
South Dakota,667495,75452,99991,543431,61428,528868,79224,334448,37.8,326407,48.9,220982,25,213662,32,308295,321900,37300,0,10514,261010,271894,13,103483,106968,10526,5,101243,102499,9915,5,210456,37.8,326407,48.9,23.8,203747,30.5,334448,128868,84.9,109884,72.4,55924,52510,1448,2,235333,154956,439514
Tennessee,4119970,60329,77456,2928922,42888,2858279,53736,1869985,27.4,1823754,34.3,1064206,15.6,1034857,19.5,2048670,1905300,166000,0,69654,1342167,1513543,3558,463731,530709,68741,1025,453529,517664,62726,938,995465,27.4,1823754,34.3,14.6,972131,18.3,1869985,772027,67.5,566454,49.5,286280,267759,11782,633,1354737,118484,360328
Texas,16832185,58050,77941,13065244,45059,12978624,60097,8251415,28.5,8198453,38,4670842,16.1,4640862,21.5,8631285,7439200,761700,0,335092,5992764,6736755,633,2021996,2320709,327648,489,2009018,2305813,325545,486,4343724,28.5,8198453,38,15,4315844,20,8251415,2735345,73.3,2098143,56.2,908281,1042462,147179,220,4537445,121510,450754
Utah,1733400,54068,76201,1498784,46750,1456751,64039,916927,28.6,891020,39.2,436033,13.6,417410,18.3,842400,811200,79800,0,40931,681314,776539,0,185184,211869,38980,0,178273,203435,35702,0,397053,28.6,891020,39.2,12.4,381708,16.8,916927,286859,78.4,171421,46.9,71169,93533,6719,0,520607,142292,473772
Virginia,5206395,60997,78002,4538309,53170,4358949,65306,2975428,34.9,2857730,42.8,1666877,19.5,1584852,23.7,2601495,2402400,202500,0,126102,2031364,2379768,1075,714757,826293,125508,319,686499,792389,105684,280,1541369,34.9,2857730,42.8,18.1,1479168,22.2,2975428,1033269,76,726891,53.5,336330,355611,34749,201,1729579,127277,383131
Veterans Health,4909085,N/A,N/A,4158970,N/A,4158788,N/A,2416608,N/A,2416485,N/A,1814135,N/A,1814072,N/A,2211885,2562000,135200,0,73612,2209349,1876007,2,931540,809016,73578,1,931520,808978,73573,1,1740557,N/A,2416485,N/A,0,1740499,0,2416608,1362770,0,1177203,0,656437,494191,26574,1,2513833,0,0
Virgin Islands,61940,59171,75860,43826,41867,43472,53242,26026,24.9,25796,31.6,16073,15.4,15970,19.6,41340,20100,500,0,136,16705,26985,0,6604,9328,141,0,6596,9234,140,0,15932,24.9,25796,31.6,15.2,15830,19.4,26026,9156,51.4,6259,35.2,3072,3114,73,0,15474,86952,348056
Vermont,457350,73295,89679,370232,59333,349875,68605,232419,37.2,220001,43.1,138468,22.2,128669,25.2,216450,214500,26400,0,8990,175170,185816,256,61827,67893,8672,76,58425,63613,6564,67,129796,37.2,220001,43.1,20.8,122105,23.9,232419,111192,88.9,71218,57,30637,40410,126,45,186907,149479,365766
Washington,4834980,63494,81235,4015071,52727,3825359,64272,2510100,33,2401244,40.3,1575763,20.7,1483675,24.9,2485080,2153600,196300,0,96774,1808221,2107176,2900,679616,798677,96875,595,652400,745810,84928,537,1478888,33,2401244,40.3,19.4,1398747,23.5,2510100,966386,79.9,766800,63.4,355286,384120,27004,390,1721253,142285,399677
Wisconsin,3470905,59613,76186,3250426,55826,3130953,68724,2054787,35.3,1981268,43.5,1242184,21.3,1190751,26.1,1727505,1603100,140300,0,86082,1452365,1711582,397,518846,639704,83455,179,501236,614090,75353,72,1158729,35.3,1981268,43.5,19.9,1115398,24.5,2054787,828785,81.5,667331,65.6,322586,335977,8729,39,1513582,148793,341207
West Virginia,1246555,69557,87015,946918,52837,941584,65726,569655,31.8,563690,39.3,379705,21.2,378113,26.4,559455,612600,74500,0,11386,462336,473196,0,173149,194124,12401,31,172794,193478,11813,28,367304,31.8,563690,39.3,20.5,366300,25.6,569655,247160,67.3,201477,54.9,100168,99057,2235,17,450019,122617,339651
Wyoming,405665,70092,91156,286966,49583,270674,60822,168177,29.1,161111,36.2,119075,20.6,109711,24.7,184665,197800,23200,0,7315,140888,138625,138,55408,56934,6708,25,52328,51458,5902,23,112367,29.1,161111,36.2,19.4,103809,23.3,168177,68361,68.9,57896,58.4,29848,27030,1005,13,125731,126772,409023
