COVID-19 Vaccinations in the United States
Date generated: Fri Mar 12 2021 17:17:51 GMT-0600 (CST)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence
Dept of Defense,1916650,N/A,N/A,1403967,N/A,1400188,N/A,928122,N/A,924686,N/A,461123,N/A,460780,N/A,1008150,865900,42600,0,1366,663249,738953,399,203428,256329,1366,0,203401,256013,1366,0,459757,N/A,924686,N/A,0,459414,0,928122
Delaware,419015,43030,54404,307982,31628,307743,39957,190252,19.5,190091,24.7,111344,11.4,111284,14.4,206115,202100,10800,0,2292,140970,164686,34,53279,55683,2369,13,53267,55635,2369,13,108975,19.5,190091,24.7,11.2,108915,14.1,190252
Florida,8877915,41335,51473,6613352,30792,6605634,38298,4076435,19,4069796,23.6,2243267,10.4,2242285,13,4152915,4441900,283100,0,37895,3333652,3233652,8153,1084531,1118370,37607,2759,1083973,1117957,37596,2759,2205660,19,4069796,23.6,10.3,2204689,12.8,4076435
Federated States of Micronesia,47400,45734,58633,19086,18415,19081,23603,11870,11.5,11865,14.7,7261,7,7261,9,0,46600,800,0,0,19086,0,0,7241,20,0,0,7241,20,0,0,7261,11.5,11865,14.7,7,7261,9,11870
Georgia,3980645,37492,49062,2598432,24473,2597033,32009,1548497,14.6,1547445,19.1,979717,9.2,979353,12.1,1803945,2067000,109700,0,7484,1444543,1146186,219,539545,432293,7752,127,539492,431984,7750,127,971965,14.6,1547445,19.1,9.2,971603,12,1548497
Guam,87860,53002,67951,63697,38425,63656,49232,36600,22.1,36575,28.3,26580,16,26566,20.5,48360,38200,1300,0,0,32376,31321,0,12945,13635,0,0,12944,13622,0,0,26580,22.1,36575,28.3,16,26566,20.5,36600
Hawaii,676520,47781,60620,503482,35560,502781,45052,314009,22.2,312805,28,193632,13.7,193502,17.3,365820,296900,13800,0,601,179454,229667,93760,72344,102658,625,18005,72308,102582,624,17988,193007,22.2,312805,28,13.6,192878,17.3,314009
Iowa,1257345,39852,51780,1034296,32782,1032385,42516,699106,22.2,697918,28.7,359687,11.4,358970,14.8,579345,642900,35100,0,24967,553867,455343,119,178914,155815,24951,7,178905,155114,24944,7,334736,22.2,697918,28.7,10.6,334026,13.8,699106
Idaho,669775,37479,50026,522505,29238,522486,39025,324180,18.1,324154,24.2,193479,10.8,193466,14.5,309075,342300,18400,0,3130,272482,246720,173,99799,90628,3023,29,99798,90622,3017,29,190456,18.1,324154,24.2,10.7,190449,14.2,324180
Indian Health Svc,1239435,59508,N/A,715356,34346,707273,N/A,466856,22.4,460691,N/A,243445,11.7,241575,N/A,478335,739200,21900,0,1147,387368,326841,0,115973,126329,1143,0,115938,124494,1143,0,242302,22.4,460691,N/A,11.6,240432,0,466856
Illinois,5044435,39808,51192,3925271,30976,3917949,39760,2603710,20.5,2598388,26.4,1329918,10.5,1327957,13.5,2401035,2509600,133800,0,32967,1931482,1959358,1464,616742,680834,31903,439,616590,679074,31854,439,1298015,20.5,2598388,26.4,10.2,1296103,13.2,2603710
Indiana,2536330,37675,49113,2030306,30158,2029415,39297,1239957,18.4,1239394,24,792015,11.8,791679,15.3,1211730,1248900,75700,0,19806,945523,1062585,2392,360103,411253,19808,851,360074,410949,19805,851,772207,18.4,1239394,24,11.5,771874,14.9,1239957
Kansas,1251145,42946,56535,847260,29082,845722,38215,582831,20,581750,26.3,303570,10.4,303040,13.7,579345,641100,30700,0,6445,473778,366872,165,158580,138489,6431,70,158562,137979,6429,70,297139,20,581750,26.3,10.2,296611,13.4,582831
Kentucky,1770615,39632,51103,1401175,31363,1399078,40380,953333,21.3,952097,27.5,484809,10.9,484540,14,830115,894200,46300,0,13451,725975,661666,83,248133,223266,13349,61,248115,223020,13344,61,471460,21.3,952097,27.5,10.6,471196,13.6,953333
Louisiana,1834230,39456,51506,1379998,29685,1379429,38735,872278,18.8,871841,24.5,505211,10.9,505090,14.2,884130,898900,51200,0,22402,599461,757344,791,186340,296836,21677,358,186327,296733,21673,357,483534,18.8,871841,24.5,10.4,483417,13.6,872278
Massachusetts,2861490,41516,51654,2443419,35450,2438872,44025,1650762,24,1647576,29.7,811452,11.8,810165,14.6,1322490,1461000,78000,0,43141,1207578,1192659,41,346450,422153,42842,7,346368,420968,42822,7,768610,24,1647576,29.7,11.2,767343,13.9,1650762
Maryland,2405820,39794,51068,1859444,30757,1857276,39424,1245004,20.6,1243371,26.4,706296,11.7,705713,15,1153620,1187100,65100,0,45154,914755,898391,1144,307717,354114,44155,310,307677,353579,44147,310,662141,20.6,1243371,26.4,11,661566,14,1245004
Maine,582520,43335,53180,476530,35451,476076,43463,320144,23.8,319862,29.2,172270,12.8,172086,15.7,260520,305600,16400,0,11546,237154,227800,30,79566,81129,11570,5,79545,80968,11568,5,160700,23.8,319862,29.2,12,160518,14.7,320144
Marshall Islands,35600,60945,78135,15896,27213,15874,34840,11121,19,11098,24.4,4724,8.1,4723,10.4,0,35000,600,0,0,15896,0,0,4721,1,2,0,4720,1,2,0,4722,19,11098,24.4,8.1,4721,10.4,11121
Michigan,3847200,38523,49053,2983009,29869,2981170,38011,1936578,19.4,1935314,24.7,1082171,10.8,1081590,13.8,1817400,1920300,109500,0,9606,1371180,1602223,0,428561,643632,9941,37,428514,643102,9937,37,1072230,19.4,1935314,24.7,10.7,1071653,13.7,1936578
Minnesota,2234040,39613,51517,1874674,33241,1872625,43183,1249489,22.2,1248076,28.8,664825,11.8,664142,15.3,1063140,1111900,59000,0,31651,869247,973591,185,267293,365910,31581,41,267266,365262,31573,41,633244,22.2,1248076,28.8,11.2,632569,14.6,1249489
Missouri,2383325,38833,49998,1759789,28673,1758287,36886,1110044,18.1,1109005,23.3,598136,9.7,597756,12.5,1184625,1145200,53500,0,14949,719703,1024915,222,206663,376264,15185,24,206635,375914,15184,23,582951,18.1,1109005,23.3,9.5,582572,12.2,1110044
Northern Mariana Islands,44010,77371,99193,21638,38040,21614,48715,12628,22.2,12615,28.4,8997,15.8,8986,20.3,30810,12800,400,0,0,2396,19242,0,619,8378,0,0,619,8367,0,0,8997,22.2,12615,28.4,15.8,8986,20.3,12628
Mississippi,1218895,40955,53517,824528,27705,824159,36186,539704,18.1,539433,23.7,298916,10,298820,13.1,550095,636800,32000,0,10877,440406,372750,495,152913,135354,10639,10,152897,135278,10635,10,288277,18.1,539433,23.7,9.7,288185,12.7,539704
Montana,465945,43596,55457,370463,34662,369612,43991,237009,22.2,236384,28.1,136470,12.8,136257,16.2,197145,256300,12500,0,2642,199958,167771,92,72472,61294,2678,26,72454,61099,2678,26,133792,22.2,236384,28.1,12.5,133579,15.9,237009
North Carolina,4132380,39401,50473,3165928,30186,3161562,38615,2014895,19.2,2011365,24.6,1129823,10.8,1128906,13.8,1978080,2042600,111700,0,22076,1369136,1774387,329,426714,681010,22076,23,426605,680255,22023,23,1107747,19.2,2011365,24.6,10.6,1106883,13.5,2014895
North Dakota,343200,45036,58980,297605,39053,296955,51033,186005,24.4,185549,31.9,100996,13.3,100845,17.3,156000,178400,8800,0,2680,145845,149080,0,47795,50522,2679,0,47781,50387,2677,0,98317,24.4,185549,31.9,12.9,98168,16.9,186005
Nebraska,816830,42226,56011,653385,33777,652271,44727,421931,21.8,421222,28.9,240487,12.4,240067,16.5,392730,400600,23500,0,15000,317385,319693,1307,108593,116235,15339,320,108566,115847,15334,320,225148,21.8,421222,28.9,11.6,224733,15.4,421931
New Hampshire,548625,40349,49674,431296,31720,430177,38949,315641,23.2,314837,28.5,140893,10.4,140589,12.7,248625,284200,15800,0,8921,239403,182945,27,78606,53090,9192,5,78543,52855,9186,5,131701,23.2,314837,28.5,9.7,131403,11.9,315641
New Jersey,3517135,39598,50653,2916801,32839,2909214,41898,2018387,22.7,2012716,29,1027702,11.6,1025774,14.8,1679535,1742000,95600,0,30979,1518481,1366866,475,502638,494247,30812,5,502562,492402,30805,5,996890,22.7,2012716,29,11.2,994969,14.3,2018387
New Mexico,1024955,48881,63230,895586,42711,889949,54902,581690,27.7,576632,35.6,326268,15.6,324679,20,508755,490600,25600,0,2334,402865,489306,1081,130291,193441,2271,265,130248,191897,2269,265,323997,27.7,576632,35.6,15.5,322410,19.9,581690
Nevada,1166260,37864,48848,930754,30218,930021,38953,585867,19,585358,24.5,328394,10.7,328194,13.7,547560,586200,32500,0,7643,429643,493468,0,146498,174301,7595,0,146484,174116,7594,0,320799,19,585358,24.5,10.4,320600,13.4,585867
New York State,8007325,41161,51910,5999720,30841,5991326,38841,4010039,20.6,4002870,26,1954049,10,1952716,12.7,3852225,3959000,196100,0,77968,2939148,2981952,652,954115,922744,77080,110,953984,921545,77077,110,1876969,20.6,4002870,26,9.6,1875639,12.2,4010039
Ohio,4614085,39473,50643,3494036,29891,3490716,38313,2232778,19.1,2230592,24.5,1287051,11,1285925,14.1,2168985,2312100,133000,0,60266,1780183,1650983,2604,629250,597655,59405,741,629208,596580,59397,740,1227646,19.1,2230592,24.5,10.5,1226528,13.5,2232778
Oklahoma,1975455,49923,65745,1398278,35337,1395401,46440,891158,22.5,888747,29.6,493020,12.5,492669,16.4,926055,1000700,48700,0,6568,659893,731810,7,229828,256689,6502,1,229817,256350,6501,1,486518,22.5,888747,29.6,12.3,486168,16.2,891158
Oregon,1634415,38751,48771,1271685,30151,1268042,37839,806341,19.1,804143,24,461440,10.9,460030,13.7,752115,834500,47800,0,5054,633838,631875,918,216907,239288,5097,148,216772,238014,5096,148,456343,19.1,804143,24,10.8,454934,13.6,806341
Pennsylvania,5193895,40571,51084,3759104,29363,3752362,36906,2548224,19.9,2543264,25,1211482,9.5,1209732,11.9,2402595,2647400,143900,0,1759,1924087,1833159,99,616496,591573,3346,67,616358,589962,3346,66,1208136,19.9,2543264,25,9.4,1206386,11.9,2548224
Puerto Rico,1420220,44470,57012,698082,21858,697701,28008,440880,13.8,440609,17.7,259324,8.1,259212,10.4,670020,711700,38500,0,551,297613,399671,247,107188,151567,562,7,107170,151474,561,7,258762,13.8,440609,17.7,8.1,258651,10.4,440880
Rhode Island,437405,41290,51166,359501,33936,359136,42011,258664,24.4,258414,30.2,104330,9.8,104218,12.2,206505,219000,11900,0,2187,192155,165159,0,57257,44778,2294,1,57254,44669,2294,1,102036,24.4,258414,30.2,9.6,101924,11.9,258664
Republic of Palau,14800,82649,105964,9193,51337,9193,65819,6158,34.4,6158,44.1,3136,17.5,3136,22.5,0,14600,200,0,0,9192,1,0,3124,12,0,0,3124,12,0,0,3136,34.4,6158,44.1,17.5,3136,22.5,6158
South Carolina,1894535,36796,46923,1493376,29005,1491928,36951,950186,18.5,949151,23.5,545192,10.6,544797,13.5,981435,854100,59000,0,10601,545831,935920,1024,155602,379343,10043,204,155582,378972,10039,204,535149,18.5,949151,23.5,10.4,534758,13.2,950186
South Dakota,449235,50781,67295,349016,39452,348098,52145,226056,25.6,225412,33.8,125023,14.1,124758,18.7,205335,233300,10600,0,1439,176222,171342,13,60129,63300,1590,4,60122,63042,1590,4,123433,25.6,225412,33.8,14,123168,18.5,226056
Tennessee,2668520,39075,50168,1812050,26534,1811259,34052,1161962,17,1161298,21.8,623522,9.1,623374,11.7,1235520,1364200,68800,0,5684,873489,930883,1994,270725,346355,5914,528,270711,346227,5909,527,617608,17,1161298,21.8,9,617465,11.6,1161962
Texas,10885765,37542,50406,8005490,27609,7975379,36930,5100346,17.6,5080635,23.5,2691427,9.3,2681026,12.4,5219565,5321500,344700,0,94474,3914299,3996477,240,1312281,1286248,92802,96,1307209,1281277,92443,96,2598732,17.6,5080635,23.5,9,2588689,12,5100346
Utah,1140260,35567,50126,945378,29488,942761,41444,562291,17.5,560396,24.6,254461,7.9,253967,11.2,524160,585700,30400,0,18572,449862,476944,0,117767,118505,18189,0,117721,118069,18177,0,236272,17.5,560396,24.6,7.4,235790,10.4,562291
Virginia,3221575,37743,48266,2753938,32264,2749194,41188,1776967,20.8,1773577,26.6,1016300,11.9,1015040,15.2,1541475,1591500,88600,0,53912,1300945,1398806,275,455329,507607,53273,91,455145,506599,53205,91,963027,20.8,1773577,26.6,11.3,961835,14.4,1776967
Veterans Health,3553105,N/A,N/A,2917334,N/A,2917214,N/A,1843615,N/A,1843544,N/A,1088915,N/A,1088865,N/A,1528605,1952100,72400,0,16686,1565140,1335507,1,541453,530781,16681,0,541437,530748,16680,0,1072234,N/A,1843544,N/A,0,1072185,0,1843615
Virgin Islands,46500,44421,56950,26202,25031,26093,31957,17254,16.5,17155,21,8320,7.9,8311,10.2,27300,18800,400,0,0,11450,14752,0,4078,4237,5,0,4073,4233,5,0,8315,16.5,17155,21,7.9,8306,10.2,17254
Vermont,289750,46435,56816,217495,34856,217195,42589,139766,22.4,139575,27.4,73038,11.7,72915,14.3,134550,147900,7300,0,4,113488,103806,197,36750,36187,45,56,36739,36076,44,56,72993,22.4,139575,27.4,11.7,72871,14.3,139766
Washington,3106330,40793,52191,2441777,32066,2438424,40969,1555378,20.4,1552923,26.1,878520,11.5,877626,14.7,1461330,1560200,84800,0,9807,1217499,1213311,1160,455877,412293,10011,339,455824,411452,10011,339,868509,20.4,1552923,26.1,11.4,867615,14.6,1555378
Wisconsin,2215335,38048,48626,1944768,33401,1942430,42636,1240451,21.3,1238812,27.2,691938,11.9,691239,15.2,1036035,1115900,63400,0,2870,885833,1055899,166,280784,408002,3106,46,280762,407327,3104,46,688832,21.3,1238812,27.2,11.8,688135,15.1,1240451
West Virginia,778825,43458,54365,651835,36372,651033,45445,397640,22.2,397117,27.7,246830,13.8,246584,17.2,350025,407400,21400,0,842,328600,322393,0,121212,124397,1209,12,121162,124202,1208,12,245621,22.2,397117,27.7,13.7,245376,17.1,397640
Wyoming,270015,46654,60674,199232,34424,199007,44718,121792,21,121621,27.3,75057,13,75005,16.9,120315,143200,6500,0,888,103448,94828,68,37023,37173,851,10,37020,37124,851,10,74206,21,121621,27.3,12.8,74154,16.7,121792
