COVID-19 Vaccinations in the United States
Date generated: Tue Apr 27 2021 22:54:07 GMT-0500 (CDT)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Indian Health Svc,1673335,80340,N/A,1219247,58538,1192454,N/A,706941,33.9,690116,N/A,524189,25.2,514260,N/A,700635,899700,73000,0,19402,683522,516323,0,282846,222089,19254,0,282691,212345,19224,0,504935,33.9,690116,N/A,24.2,495036,0,706941,143904,0,113569,0,65269,46268,2032,0,258408,0,0
Illinois,11525575,90954,116964,9143971,72160,9042214,91762,5747399,45.4,5659038,57.4,3685636,29.1,3667864,37.2,6006975,4809400,709200,0,305194,3925832,4908248,4697,1503140,1875156,305771,1569,1501916,1859850,304533,1565,3379865,45.4,5659038,57.4,26.7,3363331,34.1,5747399,1702232,83.3,1310509,64.1,612495,651084,45963,967,2968354,145277,564085
Indiana,5414600,80428,104848,4002392,59451,3974762,76967,2373803,35.3,2350895,45.5,1710566,25.4,1708013,33.1,2850900,2226400,337300,0,127912,1697035,2169953,7492,693233,888282,126588,2463,693176,885854,126521,2462,1583978,35.3,2350895,45.5,23.5,1581492,30.6,2373803,844037,77.7,769272,70.9,387012,365337,15293,1630,1622210,149410,498700
Kansas,2580145,88564,116587,1965765,67475,1948992,88068,1223021,42,1208513,54.6,879588,30.2,874697,39.5,1281345,1155700,143100,0,56915,912637,995694,519,392865,429164,57409,150,392807,424366,57374,150,822179,42,1208513,54.6,28.2,817323,36.9,1223021,416098,87.5,341811,71.9,166943,164266,10518,84,728106,153128,542632
Kentucky,3860005,86399,111406,3064218,68586,3040375,87750,1807447,40.5,1789498,51.6,1369640,30.7,1364198,39.4,1996605,1641900,221500,0,106455,1384700,1572770,293,588522,677089,103805,224,588451,671774,103750,223,1265835,40.5,1789498,51.6,28.3,1260448,36.4,1807447,600795,80,512626,68.3,232281,255199,25009,137,1072666,142915,514281
Louisiana,3615450,77772,101524,2666718,57364,2650612,74431,1486493,32,1475672,41.4,1208193,26,1203061,33.8,1838850,1554200,222400,0,91011,1233273,1341467,967,519767,600647,87299,480,519681,595672,87229,479,1120894,32,1475672,41.4,24.1,1115832,31.3,1486493,549778,74.2,501043,67.6,235708,249389,15849,97,1057536,142713,487900
Massachusetts,6979520,101262,125991,5912678,85784,5846450,105537,3726523,54.1,3671547,66.3,2374818,34.5,2362842,42.7,3696420,2907100,376000,0,211017,2554926,3146646,89,990015,1173077,211710,16,989418,1162294,211114,16,2163108,54.1,3671547,66.3,31.4,2151728,38.8,3726523,1060241,90.7,891224,76.2,409030,429020,53164,10,1897662,162286,596881
Maryland,5686710,94062,120711,4615758,76348,4563895,96878,2848195,47.1,2805077,59.5,1957062,32.4,1949043,41.4,3033810,2341300,311600,0,185056,1988001,2439774,2927,803406,973605,179211,840,803307,965779,179119,838,1777851,47.1,2805077,59.5,29.4,1769924,37.6,2848195,802765,83.7,700116,73,344602,316562,38588,364,1450570,151196,592739
Maine,1318350,98076,120357,1137578,84628,1129725,103136,713103,53,705580,64.4,503312,37.4,502926,45.9,657150,581000,80200,0,70283,504155,563013,127,203956,229100,70221,35,203929,228773,70194,30,433091,53,705580,64.4,32.2,432732,39.5,713103,256702,90,234507,82.2,106363,110775,17356,13,471502,165286,462149
Marshall Islands,51300,87823,112594,25794,44158,25748,56512,14228,24.4,14190,31.1,11573,19.8,11563,25.4,0,40500,10800,0,35,25759,0,0,11530,4,39,0,11520,4,39,0,11534,24.4,14190,31.1,19.7,11524,25.3,14228,903,9.1,755,7.6,752,0,3,0,1655,16667,516616
Michigan,9199070,92112,117291,6859562,68686,6791715,86597,4155224,41.6,4097236,52.2,3015497,30.2,3004360,38.3,4802070,3876300,520700,0,227602,3006383,3624326,1251,1286752,1496402,231844,499,1286552,1485585,231726,497,2783653,41.6,4097236,52.2,27.9,2772634,35.4,4155224,1388118,78.6,1234623,69.9,624438,565005,44839,341,2550407,144466,521075
Minnesota,4763780,84470,109854,4204905,74560,4160728,95947,2580663,45.8,2543951,58.7,1843034,32.7,1835086,42.3,2492880,2003300,267600,0,194673,1802022,2207975,235,745602,900521,196851,60,745478,892826,196722,60,1646183,45.8,2543951,58.7,29.2,1638364,37.8,2580663,799852,86.9,723715,78.6,307188,378790,37712,25,1469570,159670,517587
Missouri,5100595,83106,107002,3874578,63130,3846032,80683,2274732,37.1,2252477,47.3,1607386,26.2,1603266,33.6,2695095,2129400,276100,0,119593,1537258,2217385,342,622041,865107,120184,54,621933,861206,120074,53,1487202,37.1,2252477,47.3,24.2,1483192,31.1,2274732,798943,75.2,673630,63.4,307559,341539,24509,23,1487385,140050,480265
Northern Mariana Islands,62910,110597,141791,38913,68410,38214,86130,21697,38.1,21200,47.8,17256,30.3,17054,38.4,42510,17800,2600,0,43,5083,33787,0,2230,14979,47,0,2230,14777,47,0,17209,38.1,21200,47.8,30.3,17007,38.3,21697,2413,25,2252,23.3,341,1872,39,0,4628,47859,650569
Mississippi,2382275,80046,104597,1555424,52263,1547897,67963,911491,30.6,906111,39.8,685690,23,683487,30,1174875,1056400,151000,0,44920,751672,757972,860,324988,316763,43914,25,324925,314660,43877,25,641776,30.6,906111,39.8,21.6,639610,28.1,911491,349687,71.8,294572,60.5,157275,125299,11989,9,627044,128838,489482
Montana,965225,90311,114882,735987,68862,728814,86744,427992,40,422886,50.3,327287,30.6,325265,38.7,470925,433200,61100,0,21855,352741,361205,186,153135,152661,21434,57,153083,150705,21420,57,305853,40,422886,50.3,28.6,303845,36.2,427992,159754,77.4,141273,68.4,68751,67358,5131,33,294740,142775,467564
North Carolina,9420170,89818,115057,6814517,64974,6740145,82324,4057006,38.7,3999818,48.9,2913705,27.8,2896104,35.4,4993170,3883100,543900,0,234791,2855753,3723644,329,1157200,1525093,231380,32,1156315,1509180,230577,32,2682325,38.7,3999818,48.9,25.6,2665527,32.6,4057006,1342223,76.7,1159861,66.2,548958,585920,24960,23,2524323,144157,537959
North Dakota,627810,82383,107891,552769,72536,547405,94073,295888,38.8,292605,50.3,243992,32,242323,41.6,311610,284600,31600,0,21653,243668,287448,0,103913,121009,19069,1,103842,119479,19001,1,224923,38.8,292605,50.3,29.5,223322,38.4,295888,96768,80.7,84509,70.5,41832,39927,2750,0,186626,155723,523852
Nebraska,1744730,90195,119639,1380708,71376,1368468,93838,823722,42.6,813241,55.8,603909,31.2,602026,41.3,930930,717200,96600,0,51858,587739,738766,2345,245737,305529,51981,662,245682,303732,51951,661,551928,42.6,813241,55.8,28.5,550075,37.7,823722,260740,83.4,234555,75.1,113924,116461,3680,490,497875,159341,558389
New Hampshire,1249845,91920,113164,1132331,83277,1122859,101666,811776,59.7,803387,72.7,401091,29.5,400152,36.2,630045,537000,82800,0,50175,489764,592365,27,178459,171315,51304,13,178313,170544,51282,13,349787,59.7,803387,72.7,25.7,348870,31.6,811776,289774,99.9,183019,72.1,82469,88551,11991,8,449325,176994,492329
New Jersey,8200165,92321,118097,7052362,79399,6974367,100443,4473776,50.4,4412104,63.5,3050496,34.3,3033272,43.7,4345965,3408900,445300,0,269751,3077684,3704452,475,1248700,1529842,271930,24,1248533,1512896,271822,21,2778566,50.4,4412104,63.5,31.3,2761450,39.8,4473776,1249157,84.7,1024524,69.4,479590,482258,62663,13,2164802,146713,555742
New Mexico,2031135,96867,125302,1749402,83431,1725970,106476,1051555,50.1,1032890,63.7,749802,35.8,743115,45.8,1039935,866800,124400,0,45834,779928,921478,2162,310517,393664,45023,598,310354,387220,44943,598,704779,50.1,1032890,63.7,33.6,698172,43.1,1051555,323624,85.7,264028,69.9,120589,130683,12391,365,570056,150966,537898
Nevada,2478100,80454,103794,1991775,64665,1976398,82780,1196360,38.8,1182913,49.5,820830,26.6,819026,34.3,1298700,1032500,146900,0,71066,841026,1079683,0,332575,418002,70248,5,332538,416253,70230,5,750582,38.8,1182913,49.5,24.4,748796,31.4,1196360,377755,76.2,318560,64.2,152479,151598,14479,4,700295,141196,499645
New York State,17783255,91414,115287,14982362,77016,14853863,96296,8989922,46.2,8881343,57.6,6330749,32.5,6310562,40.9,9367605,7463500,952150,0,582141,6492883,7904624,2714,2620010,3141886,568307,546,2619594,3122403,568022,543,5762442,46.2,8881343,57.6,29.6,5742540,37.2,8989922,2537771,77,2148280,65.2,1042882,989735,115356,307,4592368,139325,539517
Ohio,10244735,87643,112443,8120139,69468,8038173,88224,4643330,39.7,4582403,50.3,3601998,30.8,3582477,39.3,5450835,4259400,534500,0,288953,3506597,4317433,7156,1482079,1838698,279104,2117,1481962,1819405,279002,2108,3322894,39.7,4582403,50.3,28.4,3303475,36.3,4643330,1605593,78.5,1451991,71,667718,724672,58346,1255,3044249,148767,500642
Oklahoma,3710395,93769,123485,2632963,66540,2605765,86722,1508513,38.1,1491124,49.6,1138340,28.8,1129140,37.6,1899495,1618200,192700,0,68397,1221062,1343470,34,504026,566623,67670,21,503911,557575,67633,21,1070670,38.1,1491124,49.6,27.1,1061507,35.3,1508513,504764,79.5,420225,66.2,220478,187435,12306,6,922383,145227,584193
Oregon,3735745,88572,111476,2936291,69618,2908863,86801,1811978,43,1789327,53.4,1228652,29.1,1223378,36.5,1874145,1635000,226600,0,94325,1291590,1548838,1538,522744,612347,93295,266,522372,607715,93027,264,1135357,43,1789327,53.4,26.9,1130351,33.7,1811978,606472,79.2,536672,70.1,244437,260060,32033,142,1104192,144135,487644
Pennsylvania,11928615,93178,117322,9696649,75743,9626730,94683,6151465,48.1,6091982,59.9,3903690,30.5,3892311,38.3,6048315,5030800,849500,0,330576,4163701,5202126,246,1556059,2011249,336187,195,1555641,2000441,336036,193,3567503,48.1,6091982,59.9,27.9,3556275,35,6151465,2189616,91.5,1592343,66.5,740807,805170,46249,117,3744834,156468,498404
Puerto Rico,2992360,93696,114170,1780310,55745,1770362,67546,1128983,35.4,1118960,42.7,731040,22.9,730604,27.9,1503060,1302900,186400,0,62531,708868,1008639,272,265621,402836,62570,13,265581,402513,62497,13,668470,35.4,1118960,42.7,20.9,668107,25.5,1128983,384221,70.8,303806,56,141534,152146,10123,3,674247,124187,551152
Rhode Island,1082735,102206,126656,886081,83643,877612,102661,546687,51.6,539389,63.1,370331,35,369329,43.2,579735,449300,53700,0,37847,373247,474963,24,148061,184650,37616,4,148052,183671,37602,4,332715,51.6,539389,63.1,31.4,331727,38.8,546687,169589,90.7,152810,81.7,70971,76996,4841,2,318271,170157,578860
Republic of Palau,24600,137376,176129,19334,107969,19334,138426,11685,65.3,11685,83.7,8013,44.7,8013,57.4,0,20800,3800,0,197,19136,1,0,7801,15,197,0,7801,15,197,0,7816,65.3,11685,83.7,43.6,7816,56,11685,1544,50.7,1442,47.4,1343,8,91,0,2854,93758,808147
South Carolina,4369935,84874,108233,3163207,61437,3138498,77733,1854582,36,1835679,45.5,1355898,26.3,1350075,33.4,2315235,1797700,257000,0,96891,1263949,1801312,1055,496179,765153,94357,209,495937,759773,94156,209,1261541,36,1835679,45.5,24.5,1255919,31.1,1854582,745516,79.6,624957,66.7,260637,346293,17886,141,1356961,144816,466364
South Dakota,872085,98579,130638,680866,76964,674552,101048,391687,44.3,386943,58,309655,35,308062,46.1,421785,397000,53300,0,18135,314333,348385,13,139446,151999,18202,8,139415,150444,18195,8,291453,44.3,386943,58,32.9,289867,43.4,391687,133948,88.2,122185,80.5,63393,56233,2554,5,250665,165051,574227
Tennessee,5398370,79049,101490,3889164,56949,3862494,72615,2302554,33.7,2281870,42.9,1592705,23.3,1587007,29.8,2785770,2286100,326500,0,107611,1706751,2069525,5277,677264,808905,104993,1543,677141,803451,104874,1541,1487712,33.7,2281870,42.9,21.8,1482133,27.9,2302554,831883,72.8,683875,59.8,351342,312485,19068,980,1537509,134469,472136
Texas,24079945,83046,111502,18218563,62832,17992727,83315,10849586,37.4,10712062,49.6,7404324,25.5,7310471,33.9,12454845,10041100,1584000,0,642194,8022391,9553277,701,3102766,3671938,629063,557,3063437,3625394,621089,550,6776900,37.4,10712062,49.6,23.4,6691000,31,10849586,2916369,78.1,2443427,65.4,1023913,1211740,207591,184,5259557,140847,644844
Utah,2440580,76126,107289,2068767,64529,2034823,89452,1234547,38.5,1207771,53.1,722108,22.5,715550,31.5,1233180,1069600,137800,0,84074,896106,1088587,0,286155,354974,80979,0,286056,348606,80888,0,641129,38.5,1207771,53.1,20,634662,27.9,1234547,304742,83.3,202003,55.2,88146,103589,10268,0,567543,155121,667058
Virginia,7892675,92469,118248,6402272,75007,6325084,94762,3921634,45.9,3859126,57.8,2657944,31.1,2642676,39.6,4197375,3280700,414600,0,214663,2692287,3493531,1791,1079313,1364491,213585,555,1078272,1350880,212971,553,2444359,45.9,3859126,57.8,28.6,2429705,36.4,3921634,1124200,82.7,950003,69.9,457430,444857,47363,353,2035633,149799,580811
Veterans Health,6209195,N/A,N/A,4849986,N/A,4849504,N/A,2657173,N/A,2656782,N/A,2305630,N/A,2305524,N/A,2730195,2958800,520200,0,114928,2540130,2194926,2,1169312,1021455,114862,1,1169290,1021387,114846,1,2190768,N/A,2656782,N/A,0,2190678,0,2657173,1426157,0,1316094,0,736724,539760,39609,1,2703161,0,0
Virgin Islands,66080,63126,80931,60203,57511,59605,73001,32822,31.4,32481,39.8,25101,24,24899,30.5,43680,21700,700,0,305,19985,39913,0,8604,16177,320,0,8596,15983,320,0,24781,31.4,32481,39.8,23.7,24579,30.1,32822,11038,62,8961,50.4,3801,5025,135,0,19998,112374,371319
Vermont,651190,104359,127688,543879,87162,540639,106011,332511,53.3,329965,64.7,224807,36,224112,43.9,324090,286900,40200,0,23749,242963,276645,522,91367,109866,23395,179,91351,109205,23377,179,201412,53.3,329965,64.7,32.3,200735,39.4,332511,118433,94.7,103904,83.1,50648,52578,559,119,227413,181874,520790
Washington,6984940,91727,117358,5613491,73717,5562444,93458,3417581,44.9,3376246,56.7,2346508,30.8,2337109,39.3,3605940,2985400,393600,0,193848,2411670,3004505,3468,957385,1194314,193985,824,957234,1185165,193886,824,2152523,44.9,3376246,56.7,28.3,2143223,36,3417581,1023799,84.6,922190,76.2,424860,459929,36838,563,1927608,159343,577400
Wisconsin,5185505,89061,113821,4502240,77326,4454130,97768,2615301,44.9,2578440,56.6,1955380,33.6,1946070,42.7,2675205,2227000,283300,0,170519,1935089,2396175,457,791762,999178,164243,197,791638,990078,164158,196,1791137,44.9,2578440,56.6,30.8,1781912,39.1,2615301,875498,86.1,805981,79.2,395014,394528,16356,83,1705821,167691,509761
West Virginia,1628435,90865,113671,1142947,63775,1129678,78856,633533,35.4,624704,43.6,521809,29.1,517671,36.1,786435,746500,95500,0,19039,550123,573785,0,242412,259437,19896,64,242307,255429,19871,64,501913,35.4,624704,43.6,28,497800,34.7,633533,257519,70.2,230752,62.9,118972,108463,3276,41,486063,132438,443702
Wyoming,476385,82311,107047,348695,60249,346491,77859,194585,33.6,192976,43.4,155503,26.9,154979,34.8,215085,229900,31400,0,11261,169842,167412,180,71775,73131,10567,30,71767,72619,10563,30,144936,33.6,192976,43.4,25,144416,32.5,194585,72221,72.8,65324,65.9,33968,29636,1707,13,136128,137255,480328
