COVID-19 Vaccinations in the United States
Date generated: Thu Apr 29 2021 14:49:38 GMT-0500 (CDT)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Minnesota,4930410,87424,113696,4293491,76131,4245031,97891,2621229,46.5,2581417,59.5,1890871,33.5,1881726,43.4,2585310,2077200,267900,0,194974,1831019,2267263,235,762623,931024,197164,60,762493,922138,197035,60,1693707,46.5,2581417,59.5,30,1684691,38.8,2621229,802278,87.2,727774,79.1,308825,381138,37786,25,1476227,160393,535692
Missouri,5178655,84378,108639,3947226,64314,3916521,82162,2298354,37.4,2274825,47.7,1655078,27,1650141,34.6,2739555,2162900,276200,0,119965,1563379,2263537,345,639665,894790,120567,56,639548,890081,120457,55,1534511,37.4,2274825,47.7,25,1529684,32.1,2298354,801863,75.5,680448,64.1,310703,345118,24603,24,1497017,140957,487615
Northern Mariana Islands,62910,110597,141791,39728,69843,38973,87840,21961,38.6,21446,48.3,17811,31.3,17571,39.6,42510,17800,2600,0,43,5205,34480,0,2262,15502,47,0,2262,15262,47,0,17764,38.6,21446,48.3,31.2,17524,39.5,21961,2428,25.1,2273,23.5,345,1889,39,0,4664,48232,650569
Mississippi,2415815,81173,106070,1565428,52599,1557700,68393,915125,30.7,909672,39.9,692450,23.3,690117,30.3,1177215,1087400,151200,0,44972,756037,763559,860,327726,320728,43971,25,327662,318496,43934,25,648479,30.7,909672,39.9,21.8,646183,28.4,915125,350261,72,295725,60.8,157910,125802,12004,9,628683,129174,496373
Montana,983905,92059,117105,750384,70210,742688,88395,432256,40.4,426974,50.8,337360,31.6,334989,39.9,475605,447200,61100,0,22027,357950,370217,190,156361,159335,21607,57,156308,157032,21592,57,315753,40.4,426974,50.8,29.5,313397,37.3,432256,160355,77.7,142483,69,69294,67970,5186,33,296537,143645,476613
North Carolina,9580050,91342,117010,6888208,65677,6811638,83197,4083191,38.9,4025004,49.2,2961996,28.2,2943169,35.9,5009550,4020800,549700,0,235088,2890345,3762446,329,1180906,1549355,231703,32,1179975,1532264,230898,32,2730293,38.9,4025004,49.2,26,2712271,33.1,4083191,1344698,76.8,1164210,66.5,551317,587863,25007,23,2531024,144540,547089
North Dakota,641960,84240,110323,557851,73203,552150,94889,297564,39,294143,50.5,247082,32.4,245253,42.1,317460,292900,31600,0,21740,245491,290620,0,104917,123008,19156,1,104844,121322,19086,1,227926,39,294143,50.5,29.9,226167,38.9,297564,96915,80.9,84732,70.7,41942,40030,2760,0,186977,156016,535659
Nebraska,1756310,90793,120433,1412743,73032,1398392,95890,833322,43.1,821240,56.3,626278,32.4,623878,42.8,935610,724000,96700,0,52173,600977,757174,2419,255016,318297,52279,686,254959,315985,52249,685,573999,43.1,821240,56.3,29.7,571629,39.2,833322,261672,83.7,236507,75.7,115128,117145,3727,507,501020,160348,562095
New Hampshire,1302765,95812,117955,1138304,83717,1128699,102195,815590,60,807106,73.1,403679,29.7,402712,36.5,648765,555000,99000,0,50367,491839,596071,27,179632,172562,51471,14,179486,171763,51449,14,352208,60,807106,73.1,25.9,351263,31.8,815590,290106,99.9,183351,72.2,82613,88712,12017,9,449925,177231,513174
New Jersey,8501525,95714,122437,7217144,81254,7133372,102733,4545175,51.2,4479499,64.5,3150175,35.5,3131241,45.1,4472325,3568400,460800,0,272348,3143794,3800527,475,1283561,1592066,274524,24,1283382,1573423,274415,21,2875651,51.2,4479499,64.5,32.4,2856826,41.1,4545175,1256942,85.2,1041060,70.6,488084,489628,63335,13,2188214,148300,576166
New Mexico,2049565,97746,126439,1774298,84618,1749429,107923,1061291,50.6,1041352,64.2,764785,36.5,757917,46.8,1050465,874700,124400,0,45961,794390,931746,2201,319048,399986,45142,609,318883,393363,45062,609,719643,50.6,1041352,64.2,34.3,712855,44,1061291,324937,86.1,267519,70.8,122509,132211,12429,370,574864,152239,542779
Nevada,2499700,81155,104699,2026997,65808,2010521,84210,1210441,39.3,1196520,50.1,841808,27.3,839403,35.2,1298700,1053000,148000,0,71541,858509,1096947,0,342036,429032,70735,5,341997,426685,70716,5,771073,39.3,1196520,50.1,25,768687,32.2,1210441,379136,76.4,320749,64.7,153811,152386,14548,4,703792,141902,504000
New York State,18561285,95413,120330,15410701,79218,15272280,99008,9170858,47.1,9056169,58.7,6579272,33.8,6555159,42.5,9653085,7927100,981100,0,589282,6652199,8166369,2851,2715480,3287944,575270,578,2715043,3264568,574977,571,6004002,47.1,9056169,58.7,30.9,5980182,38.8,9170858,2573414,78.1,2189245,66.4,1064281,1007386,117257,321,4668504,141635,563121
Ohio,10493195,89769,115170,8255989,70630,8168130,89651,4684613,40.1,4621669,50.7,3694410,31.6,3671068,40.3,5542095,4408200,542900,0,290994,3551965,4405583,7447,1510466,1900723,281014,2207,1510333,1877629,280908,2198,3413396,40.1,4621669,50.7,29.2,3390160,37.2,4684613,1611103,78.7,1461313,71.4,671379,729970,58665,1299,3059933,149533,512784
Oklahoma,3722765,94081,123897,2666794,67395,2638684,87818,1518260,38.4,1500572,49.9,1162129,29.4,1152324,38.4,1900665,1628800,193300,0,69007,1240589,1357164,34,517984,575876,68248,21,517865,566228,68210,21,1093881,38.4,1500572,49.9,27.6,1084114,36.1,1518260,506066,79.7,423244,66.6,222440,188348,12450,6,926647,145898,586140
Oregon,3823165,90645,114084,3007184,71299,2977077,88837,1848204,43.8,1823391,54.4,1264674,30,1258850,37.6,1916265,1667300,239600,0,95226,1315011,1595370,1577,534486,635717,94197,274,534098,630559,93921,272,1170477,43.8,1823391,54.4,27.8,1164929,34.8,1848204,608944,79.5,543147,70.9,247726,263100,32175,146,1113147,145304,499056
Pennsylvania,12499395,97636,122936,9931324,77576,9854857,96926,6267560,49,6202871,61,4027307,31.5,4014563,39.5,6228495,5370400,900500,0,336760,4273317,5320993,254,1615457,2069432,342214,204,1615001,2057301,342059,202,3685093,49,6202871,61,28.8,3672504,36.1,6267560,2207175,92.2,1622990,67.8,759733,815958,47180,119,3793047,158482,522253
Puerto Rico,3152720,98717,120289,1850881,57954,1838729,70155,1173182,36.7,1160986,44.3,760772,23.8,760272,29,1606020,1360100,186600,0,65287,740676,1044645,273,276840,418583,65335,14,276797,418200,65261,14,695437,36.7,1160986,44.3,21.8,695011,26.5,1173182,388555,71.6,309744,57.1,144143,154912,10686,3,683931,125971,580688
Rhode Island,1119045,105634,130903,898947,84857,890197,104133,551411,52.1,543924,63.6,378325,35.7,377238,44.1,594945,469300,54800,0,37864,380437,480622,24,152820,187867,37633,5,152807,186807,37619,5,340692,52.1,543924,63.6,32.2,339619,39.7,551411,169964,90.9,153534,82.1,71329,77357,4846,2,319425,170773,598273
Republic of Palau,24600,137376,176129,19974,111543,19974,143009,12325,68.8,12325,88.2,8659,48.4,8659,62,0,20800,3800,0,837,19136,1,0,7806,16,837,0,7806,16,837,0,7822,68.8,12325,88.2,43.7,7822,56,12325,1557,51.1,1455,47.8,1343,8,104,0,2867,94185,808147
South Carolina,4510405,87603,111712,3208817,62323,3182472,78822,1868700,36.3,1849172,45.8,1386994,26.9,1380149,34.2,2374905,1877300,258200,0,97812,1284972,1824978,1055,509802,781740,95243,209,509535,775367,95038,209,1291751,36.3,1849172,45.8,25.1,1285111,31.8,1868700,747390,79.8,628872,67.1,262663,348004,18063,142,1362617,145420,481355
South Dakota,894985,101167,134069,691904,78211,685184,102640,393573,44.5,388747,58.2,318790,36,316875,47.5,433485,408200,53300,0,18197,318310,355384,13,142577,157933,18272,8,142545,156057,18265,8,300518,44.5,388747,58.2,34,298610,44.7,393573,134185,88.4,122732,80.8,63670,56486,2571,5,251385,165525,589306
Tennessee,5456970,79907,102592,3968801,58115,3940130,74075,2327527,34.1,2305951,43.4,1644492,24.1,1637735,30.8,2797470,2331900,327600,0,108494,1738140,2116603,5564,697780,839263,105822,1627,697644,832765,105701,1625,1538670,34.1,2305951,43.4,22.5,1532034,28.8,2327527,835199,73,691334,60.5,355134,315923,19241,1036,1549314,135501,477261
Texas,25102855,86574,116238,18622188,64224,18381616,85116,10999257,37.9,10853961,50.3,7654594,26.4,7553480,35,13101855,10409100,1591900,0,648708,8198859,9773916,705,3221573,3797028,635432,561,3179017,3746871,627038,554,7020839,37.9,10853961,50.3,24.2,6928097,32.1,10999257,2864207,76.7,2366801,63.4,996110,1174041,196476,173,5308703,142163,672237
Utah,2522960,78696,110910,2116081,66005,2079229,91404,1254474,39.1,1225985,53.9,749497,23.4,741768,32.6,1272960,1112000,138000,0,84771,916639,1114671,0,297728,370119,81649,1,297620,362592,81555,1,667848,39.1,1225985,53.9,20.8,660213,29,1254474,305699,83.6,203576,55.6,89117,104122,10337,0,570173,155839,689574
Virginia,8010395,93848,120012,6540658,76629,6457581,96748,3979508,46.6,3912677,58.6,2739248,32.1,2722440,40.8,4216095,3362900,431400,0,215974,2747104,3575778,1802,1113086,1410769,214835,558,1111920,1395746,214218,556,2524413,46.6,3912677,58.6,29.6,2508222,37.6,3979508,1129649,83.1,958875,70.6,461820,449147,47553,355,2050207,150872,589474
Veterans Health,6235095,N/A,N/A,4899268,N/A,4898757,N/A,2669577,N/A,2669167,N/A,2343034,N/A,2342918,N/A,2730195,2984700,520200,0,115474,2565195,2218597,2,1188253,1039373,115407,1,1188231,1039295,115391,1,2227627,N/A,2669167,N/A,0,2227527,0,2669577,1429854,0,1325080,0,741616,543613,39850,1,2715608,0,0
Virgin Islands,66080,63126,80931,61600,58846,60982,74687,33281,31.8,32928,40.3,25989,24.8,25777,31.6,43680,21700,700,0,305,20479,40816,0,8957,16712,320,0,8948,16509,320,0,25669,31.8,32928,40.3,24.5,25457,31.2,33281,11131,62.5,9224,51.8,3912,5177,135,0,20353,114368,371319
Vermont,671950,107686,131759,556060,89114,552026,108244,340072,54.5,336818,66,229298,36.7,228508,44.8,333450,297400,41100,0,23822,247119,284595,524,92895,112749,23475,179,92879,111993,23457,179,205823,54.5,336818,66,33,205051,40.2,340072,118679,94.9,104594,83.6,51092,52819,564,119,228362,182633,537392
Washington,7152780,93931,120178,5747171,75473,5691926,95633,3487638,45.8,3443117,57.8,2409840,31.6,2399466,40.3,3643380,3102200,407200,0,195411,2466660,3081542,3558,985335,1228145,195488,872,985176,1218036,195382,872,2214352,45.8,3443117,57.8,29.1,2204084,37,3487638,1027080,84.9,928080,76.7,428001,462513,36980,586,1936886,160110,591274
Wisconsin,5189475,89129,113908,4580372,78668,4529228,99416,2636880,45.3,2598978,57,2011920,34.6,2000674,43.9,2676375,2229800,283300,0,171264,1966206,2442436,466,814039,1032738,164941,202,813905,1021712,164856,201,1846979,45.3,2598978,57,31.7,1835818,40.3,2636880,877578,86.3,811076,79.7,397149,397349,16493,85,1712961,168393,510151
West Virginia,1640115,91517,114487,1160310,64744,1146518,80032,637946,35.6,628930,43.9,534200,29.8,529741,37,791115,751000,98000,0,19094,560181,581035,0,249798,264365,19971,66,249680,260049,19946,66,514229,35.6,628930,43.9,28.7,509795,35.6,637946,258334,70.4,232336,63.3,120057,108950,3288,41,488332,133057,446884
Wyoming,478185,82622,107451,353401,61062,351022,78877,195885,33.8,194236,43.6,158672,27.4,158027,35.5,215085,231700,31400,0,11328,171766,170127,180,72915,75088,10639,30,72906,74456,10635,30,148033,33.8,194236,43.6,25.6,147392,33.1,195885,72429,73,65646,66.2,34150,29754,1729,13,136622,137753,482143
