COVID-19 Vaccinations in the United States
Date generated: Thu Mar 18 2021 17:20:14 GMT-0500 (CDT)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident
Dept of Defense,2113310,N/A,N/A,1562724,N/A,1558257,N/A,975393,N/A,971625,N/A,545178,N/A,544642,N/A,1111110,956200,46000,0,7123,734897,820305,399,243015,297955,4208,0,242985,297452,4205,0,540970,N/A,971625,N/A,0,540437,0,975393,120447,0,64970,0,20761,44039,170,0
Delaware,474605,48739,61622,354571,36412,354268,45997,225478,23.2,225255,29.2,125907,12.9,125843,16.3,237705,224900,12000,0,6710,156848,190974,39,59171,59944,6779,13,59159,59892,6779,13,119128,23.2,225255,29.2,12.2,119064,15.5,225478,135424,71.7,77360,41,38005,34649,4699,7
Florida,10234515,47652,59338,7522691,35026,7513449,43562,4652763,21.7,4644735,26.9,2630843,12.2,2629715,15.2,4913415,5000600,320500,0,123724,3741211,3648077,9679,1262574,1241817,123226,3226,1262007,1241295,123187,3226,2507617,21.7,4644735,26.9,11.7,2506528,14.5,4652763,3079389,68.5,1925608,42.8,955960,924459,42412,2777
Federated States of Micronesia,47400,45734,58633,20882,20148,20877,25824,12818,12.4,12813,15.8,8100,7.8,8100,10,0,46600,800,0,0,20882,0,0,8081,19,0,0,8081,19,0,0,8100,12.4,12813,15.8,7.8,8100,10,12818,1262,7.2,870,4.9,866,4,0,0
Georgia,4403365,41473,54272,2906563,27375,2903518,35786,1774120,16.7,1771490,21.8,1082385,10.2,1081870,13.3,1986465,2301400,115500,0,34298,1578180,1293854,231,582305,466250,33687,143,582237,465902,33588,143,1048698,16.7,1771490,21.8,9.9,1048282,12.9,1774120,942059,62.1,648326,42.7,385813,257989,4435,89
Guam,87860,53002,67951,70056,42261,70006,54143,39483,23.8,39453,30.5,30003,18.1,29985,23.2,48360,38200,1300,0,5,35234,34817,0,14866,15132,5,0,14864,15116,5,0,29998,23.8,39453,30.5,18.1,29980,23.2,39483,11377,40.4,9679,34.3,4228,5449,2,0
Hawaii,755470,53357,67694,572716,40450,571670,51225,359319,25.4,357912,32.1,219607,15.5,219375,19.7,406770,330500,18200,0,3166,203410,272380,93760,82975,115387,3231,18014,82937,115218,3223,17997,216376,25.4,357912,32.1,15.3,216152,19.4,359319,139196,51.9,85260,31.8,41026,41883,944,1407
Iowa,1429895,45321,58886,1182560,37481,1180372,48610,772635,24.5,771187,31.8,441682,14,440925,18.2,667095,723200,39600,0,30725,630369,521347,119,226465,184221,30984,12,226455,183483,30975,12,410698,24.5,771187,31.8,13,409950,16.9,772635,407596,73.7,213384,38.6,111051,99734,2593,6
Idaho,735815,41174,54958,586497,32819,586477,43804,359793,20.1,359766,26.9,224667,12.6,224653,16.8,346515,368600,20700,0,6638,299191,280465,203,113635,104531,6464,37,113634,104524,6458,37,218203,20.1,359766,26.9,12.2,218195,16.3,359793,190858,65.7,115844,39.9,53343,60026,2453,22
Indian Health Svc,1325735,63651,N/A,799030,38363,788792,N/A,513330,24.6,505801,N/A,282539,13.6,279878,N/A,513435,787900,24400,0,3216,443882,351932,0,143412,135919,3208,0,143357,133319,3202,0,279331,24.6,505801,N/A,13.4,276676,0,513330,126516,0,87003,0,47930,38768,305,0
Illinois,5739945,45297,58250,4584510,36179,4575283,46431,2983268,23.5,2976402,30.2,1637747,12.9,1635388,16.6,2790645,2792500,156800,0,68853,2246953,2266922,1782,769434,800769,66983,561,769246,798706,66875,561,1570764,23.5,2976402,30.2,12.4,1568513,15.9,2983268,1309625,64.1,730290,35.7,364126,348878,16931,355
Indiana,2861620,42506,55412,2252443,33458,2251363,43595,1374484,20.4,1373761,26.6,893151,13.3,892786,17.3,1383720,1398300,79600,0,33076,1041116,1175303,2948,410127,448727,33244,1053,410095,448397,33241,1053,859907,20.4,1373761,26.6,12.8,859545,16.6,1374484,739564,68.1,568619,52.4,296516,267081,4241,781
Kansas,1389085,47681,62768,959395,32931,957620,43271,659314,22.6,657987,29.7,348321,12,347751,15.7,628485,725300,35300,0,11863,525576,421762,194,182613,153313,12317,78,182594,152768,12311,78,336004,22.6,657987,29.7,11.5,335440,15.2,659314,324760,68.3,165089,34.7,85541,76001,3495,52
Kentucky,2000045,44767,57725,1619517,36250,1616746,46662,1099332,24.6,1097533,31.7,571138,12.8,570779,16.5,957645,993500,48900,0,32002,809337,778085,93,276245,264842,29980,71,276227,264515,29966,71,541158,24.6,1097533,31.7,12.1,540813,15.6,1099332,484117,64.5,262242,34.9,109458,143209,9531,44
Louisiana,2096030,45088,58858,1519659,32689,1518551,42642,963543,20.7,962579,27,563914,12.1,563770,15.8,1012830,1025200,58000,0,36036,670946,811881,796,217583,311023,34950,358,217567,310915,34931,357,528964,20.7,962579,27,11.4,528839,14.9,963543,480718,64.9,351633,47.5,150044,193175,8344,70
Massachusetts,3270160,47445,59031,2773542,40240,2768213,49970,1845302,26.8,1841530,33.2,969041,14.1,967562,17.5,1545960,1634300,89900,0,65905,1364382,1343210,45,429655,473551,65828,7,429555,472196,65804,7,903213,26.8,1841530,33.2,13.1,901758,16.3,1845302,853842,73,443087,37.9,167825,241126,34133,3
Maryland,2791910,46180,59264,2130973,35248,2127721,45165,1428416,23.6,1425814,30.3,798449,13.2,797768,16.9,1395810,1328500,67600,0,52789,1047247,1029608,1329,364724,381496,51868,361,364681,380868,51858,361,746581,23.6,1425814,30.3,12.3,745910,15.8,1428416,633763,66.1,342458,35.7,157839,163040,21413,166
Maine,666270,49566,60826,528977,39352,528501,48249,355660,26.5,355362,32.4,193255,14.4,193065,17.6,301470,345500,19300,0,14814,263357,250773,33,89727,88612,14910,6,89706,88445,14908,6,178345,26.5,355362,32.4,13.3,178157,16.3,355660,206261,72.3,105026,36.8,40893,55905,8225,3
Marshall Islands,35600,60945,78135,17112,29295,17087,37503,11597,19.9,11571,25.4,5464,9.4,5463,12,0,35000,600,0,0,17112,0,0,5460,2,2,0,5459,2,2,0,5462,19.9,11571,25.4,9.4,5461,12,11597,803,8.1,450,4.5,448,0,2,0
Michigan,4386080,43919,55924,3396328,34008,3394018,43275,2216026,22.2,2214331,28.2,1243440,12.5,1242798,15.8,2114580,2150700,120800,0,30801,1606890,1758637,0,530702,681159,31533,46,530647,680590,31515,46,1211907,22.2,2214331,28.2,12.1,1211283,15.4,2216026,1153739,65.4,646736,36.6,297788,337319,11593,36
Minnesota,2527550,44818,58286,2119439,37581,2116427,48805,1399649,24.8,1397330,32.2,777983,13.8,777235,17.9,1230450,1234200,62900,0,48410,993314,1077525,190,334914,394365,48660,44,334879,393667,48645,44,729323,24.8,1397330,32.2,12.9,728590,16.8,1399649,713036,77.5,386135,42,161954,195658,28505,18
Missouri,2666685,43450,55942,1989274,32412,1987359,41691,1268923,20.7,1267506,26.6,681207,11.1,680795,14.3,1334385,1263800,68500,0,29569,829218,1130222,265,252418,398796,29964,29,252385,398429,29953,28,651243,20.7,1267506,26.6,10.6,650842,13.7,1268923,637795,60.1,336439,31.7,143552,182455,10422,10
Northern Mariana Islands,44010,77371,99193,23266,40902,23238,52376,13558,23.8,13541,30.5,9692,17,9681,21.8,30810,12800,400,0,0,2786,20480,0,812,8880,0,0,812,8869,0,0,9692,23.8,13541,30.5,17,9681,21.8,13558,2143,22.2,1926,19.9,267,1659,0,0
Mississippi,1367555,45950,60045,940902,31615,940378,41289,617430,20.7,617016,27.1,343155,11.5,343043,15.1,617955,713800,35800,0,18996,495253,425946,707,173959,150788,18397,11,173938,150702,18392,11,324758,20.7,617016,27.1,10.9,324651,14.3,617430,293113,60.2,189033,38.8,101508,81964,5557,4
Montana,531005,49683,63201,414258,38760,413088,49166,263148,24.6,262277,31.2,156863,14.7,156579,18.6,229905,286600,14500,0,5011,221766,187384,97,81952,69804,5080,27,81934,69539,5079,27,151783,24.6,262277,31.2,14.2,151500,18,263148,131148,63.5,84616,41,41246,41676,1681,13
North Carolina,4708400,44893,57508,3724856,35515,3717577,45406,2406584,22.9,2400265,29.3,1354397,12.9,1353283,16.5,2301000,2280300,127100,0,91702,1623773,2009052,329,530037,734341,89994,25,529916,733525,89817,25,1264403,22.9,2400265,29.3,12.1,1263466,15.4,2406584,1191215,68,858752,49,391756,453947,13030,19
North Dakota,385630,50603,66272,330516,43371,329525,56630,203723,26.7,203011,34.9,117049,15.4,116822,20.1,178230,197600,9800,0,6123,160434,163959,0,55822,55450,5777,0,55805,55245,5772,0,111272,26.7,203011,34.9,14.6,111050,19.1,203723,88474,73.8,60253,50.3,29594,29588,1071,0
Nebraska,895430,46290,61401,731885,37835,730553,50095,467152,24.1,466247,32,276138,14.3,275699,18.9,439530,429900,26000,0,17700,350108,362603,1474,122796,134801,18160,381,122769,134395,18154,381,257978,24.1,466247,32,13.3,257545,17.7,467152,229940,73.6,136000,43.5,59143,75180,1383,294
New Hampshire,622005,45745,56318,489626,36010,488326,44214,352868,26,351907,31.9,167586,12.3,167254,15.1,288405,316200,17400,0,11731,268104,209764,27,95067,60375,12139,5,94997,60126,12126,5,155447,26,351907,31.9,11.4,155128,14,352868,195494,77,76526,30.1,39321,28849,8354,2
New Jersey,4058035,45687,58443,3346883,37681,3336932,48058,2312582,26,2305003,33.2,1197797,13.5,1195389,17.2,1995435,1955300,107300,0,57778,1705722,1582908,475,578197,561951,57643,6,578115,559638,57630,6,1140154,26,2305003,33.2,12.8,1137759,16.4,2312582,913315,61.9,493748,33.5,233511,243374,16859,4
New Mexico,1136375,54195,70104,1004050,47884,997075,61510,642435,30.6,636733,39.3,378563,18.1,376029,23.2,562575,544700,29100,0,6080,463301,533426,1243,162944,209143,6169,307,162874,206687,6161,307,372394,30.6,636733,39.3,17.8,369868,22.8,642435,239354,63.4,148597,39.4,71042,75158,2213,184
Nevada,1324080,42987,55458,1062287,34488,1061361,44455,672177,21.8,671515,28.1,378958,12.3,378720,15.9,624780,663200,36100,0,14848,487813,559626,0,168190,196046,14721,1,168176,195823,14720,1,364237,21.8,671515,28.1,11.8,364000,15.2,672177,317519,64,192552,38.8,86268,100569,5715,0
New York State,9246035,47529,59941,6853499,35230,6842647,44360,4598782,23.6,4589539,29.8,2260668,11.6,2258929,14.6,4569435,4443900,232700,0,123644,3317586,3411512,757,1093369,1044441,122726,132,1093222,1042861,122714,132,2137942,23.6,4589539,29.8,11,2136215,13.8,4598782,1914935,58.1,1004460,30.5,482519,480751,41113,77
Ohio,5353955,45803,58763,4018634,34379,4014761,44065,2574120,22,2571510,28.2,1503314,12.9,1502057,16.5,2579655,2622400,151900,0,101770,2023814,1889734,3316,728342,673482,100598,892,728295,672284,100587,891,1402716,22,2571510,28.2,12,1401470,15.4,2574120,1362246,66.6,839380,41,373864,433686,31227,603
Oklahoma,2201825,55644,73279,1551665,39213,1546970,51484,1000385,25.3,996272,33.2,541818,13.7,541397,18,1044225,1102300,55300,0,15526,724418,811713,8,242982,283461,15374,1,242969,283057,15370,1,526444,25.3,996272,33.2,13.3,526027,17.5,1000385,438101,69,311613,49.1,163487,143964,4162,0
Oregon,1873825,44427,55915,1433105,33978,1428975,42641,918539,21.8,915994,27.3,529551,12.6,527999,15.8,872625,945500,55700,0,23353,709543,699228,981,247184,258932,23271,164,247031,257540,23264,164,506280,21.8,915994,27.3,12,504735,15.1,918539,444436,58,180843,23.6,75502,89417,15849,75
Pennsylvania,5956125,46525,58581,4591687,35867,4583106,45077,3087042,24.1,3080587,30.3,1580677,12.3,1578595,15.5,2822625,2967400,166100,0,76772,2234139,2280672,104,758806,743273,78522,76,758645,741356,78519,75,1502155,24.1,3080587,30.3,11.7,1500076,14.8,3087042,1446744,60.4,725885,30.3,375564,339083,11195,43
Puerto Rico,1528090,47847,61342,814157,25493,813687,32664,516877,16.2,516517,20.7,304183,9.5,304064,12.2,729690,756100,42300,0,3747,347621,462541,248,125892,174428,3856,7,125873,174330,3854,7,300327,16.2,516517,20.7,9.4,300210,12.1,516877,251154,46.3,122099,22.5,57290,64055,754,0
Rhode Island,504675,47640,59036,411715,38864,411257,48108,290175,27.4,289846,33.9,128504,12.1,128381,15,242775,248300,13600,0,6834,207920,196960,1,66528,55184,6791,1,66524,55065,6791,1,121713,27.4,289846,33.9,11.5,121590,14.2,290175,148500,79.4,48495,25.9,21988,25335,1172,0
Republic of Palau,14800,82649,105964,10962,61216,10962,78485,7695,43,7695,55.1,3377,18.9,3377,24.2,0,14600,200,0,0,10961,1,0,3364,13,0,0,3364,13,0,0,3377,43,7695,55.1,18.9,3377,24.2,7695,1342,44.1,1147,37.7,1139,8,0,0
South Carolina,2177975,42301,53943,1686210,32750,1684258,41715,1092529,21.2,1091004,27,609393,11.8,608963,15.1,1135875,974900,67200,0,25486,629468,1030232,1024,183351,400752,25084,206,183323,400366,25068,206,584309,21.2,1091004,27,11.3,583895,14.5,1092529,639808,68.3,402031,42.9,138430,258246,5215,140
South Dakota,503745,56942,75461,392994,44423,391913,58708,251987,28.5,251215,37.6,145825,16.5,145522,21.8,232245,259100,12400,0,4304,197895,190782,13,70563,70992,4266,4,70553,70700,4265,4,141559,28.5,251215,37.6,16,141257,21.2,251987,122227,80.5,76168,50.2,35566,39896,705,1
Tennessee,2981120,43653,56045,2054500,30084,2052860,38594,1334622,19.5,1333146,25.1,702983,10.3,702780,13.2,1411020,1491500,78600,0,22151,995058,1034987,2304,311145,368905,22322,611,311129,368756,22285,610,680661,19.5,1333146,25.1,10,680495,12.8,1334622,687009,60.1,398097,34.8,195531,197139,5006,421
Texas,12256425,42270,56753,9055037,31229,9018385,41759,5912169,20.4,5887636,27.3,2986118,10.3,2973727,13.8,6071325,5804800,380300,0,191758,4313844,4549158,277,1423106,1374333,188546,133,1417201,1368630,187764,132,2797857,20.4,5887636,27.3,9.6,2786247,12.9,5912169,2434632,65.2,1342559,36,639828,617900,84770,60
Utah,1298820,40513,57097,1069752,33368,1066536,46885,649591,20.3,647205,28.5,286393,8.9,285844,12.6,603720,660500,34600,0,23223,506583,539946,0,129994,133796,22603,0,129942,133315,22587,0,263790,20.3,647205,28.5,8.2,263257,11.6,649591,255991,70,112847,30.8,42779,65019,5049,0
Virginia,3685785,43182,55220,3091883,36224,3085492,46227,2015460,23.6,2010688,30.1,1135711,13.3,1134135,17,1790685,1799100,96000,0,75883,1443034,1572639,327,506020,554212,75379,100,505801,552966,75268,100,1060332,23.6,2010688,30.1,12.4,1058867,15.9,2015460,886568,65.2,476610,35.1,218674,231215,26654,67
Veterans Health,3951765,N/A,N/A,3272006,N/A,3271879,N/A,2007722,N/A,2007646,N/A,1298229,N/A,1298176,N/A,1748565,2121600,81600,0,35538,1778043,1458424,1,680189,582516,35524,0,680172,582482,35522,0,1262705,N/A,2007646,N/A,0,1262654,0,2007722,1260535,0,906441,0,492594,400340,13507,0
Virgin Islands,46800,44708,57318,30128,28781,29981,36719,19674,18.8,19546,23.9,9461,9,9451,11.6,27300,19100,400,0,0,12844,17284,0,4876,4580,5,0,4871,4575,5,0,9456,18.8,19546,23.9,9,9446,11.6,19674,7275,40.9,4173,23.4,2345,1824,4,0
Vermont,329210,52759,64553,252439,40456,252092,49431,162595,26.1,162364,31.8,86222,13.8,86088,16.9,155610,165500,8100,0,2303,128758,121159,219,41941,41956,2264,61,41930,41835,2262,61,83958,26.1,162364,31.8,13.5,83826,16.4,162595,96178,76.9,38241,30.6,16137,22018,47,39
Washington,3474360,45626,58375,2763105,36286,2758911,46354,1776669,23.3,1773455,29.8,1013904,13.3,1012925,17,1670760,1713300,90300,0,45714,1332451,1382644,2296,512373,455085,46054,392,512317,454166,46050,392,967850,23.3,1773455,29.8,12.7,966875,16.2,1776669,870247,71.9,538180,44.5,276969,241530,19387,294
Wisconsin,2548695,43774,55944,2210128,37959,2206859,48440,1405196,24.1,1402712,30.8,802989,13.8,802226,17.6,1220895,1256000,71800,0,16070,1034200,1159673,185,354521,432493,15925,50,354494,431763,15919,50,787064,24.1,1402712,30.8,13.5,786307,17.3,1405196,758530,74.6,461011,45.3,223840,235752,1391,28
West Virginia,879775,49091,61412,709770,39604,708814,49478,435450,24.3,434781,30.3,268847,15,268590,18.7,402675,455400,21700,0,2177,360652,346941,0,132177,133858,2798,14,132124,133657,2795,14,266049,24.3,434781,30.3,14.8,265795,18.6,435450,224237,61.1,148364,40.4,73721,73850,785,8
Wyoming,300485,51919,67521,214050,36984,213774,48036,130178,22.5,129953,29.2,81924,14.2,81872,18.4,133185,160000,7300,0,1405,109970,102604,71,41165,39386,1362,11,41162,39337,1362,11,80562,22.5,129953,29.2,13.9,80510,18.1,130178,63988,64.5,48062,48.5,24460,23297,298,7
