COVID-19 Vaccinations in the United States
Date generated: Wed Mar 31 2021 22:25:14 GMT-0500 (CDT)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Nebraska,1152650,59587,79039,940837,48637,938521,64356,595579,30.8,593723,40.7,361958,18.7,361478,24.8,586950,521600,44100,0,22711,434168,482125,1833,158865,179214,23374,505,158833,178772,23368,505,338584,30.8,593723,40.7,17.5,338110,23.2,595579,244816,78.4,189087,60.5,85349,101472,1873,393,436700,139763,368898
New Hampshire,788755,58009,71416,614984,45229,613240,55524,414738,30.5,413440,37.4,239872,17.6,239444,21.7,376155,384800,27800,0,14965,323452,276540,27,126266,97855,15745,6,126173,97535,15730,6,224127,30.5,413440,37.4,16.5,223714,20.3,414738,210506,82.9,127632,50.3,61872,57012,8745,3,318993,125655,310700
New Jersey,5236605,58956,75416,4381035,49324,4362416,62826,2951563,33.2,2937216,42.3,1659604,18.7,1655251,23.8,2616705,2442500,177400,0,96033,2099048,2185479,475,743713,819635,96248,8,743613,815407,96223,8,1563356,33.2,2937216,42.3,17.6,1559028,22.5,2951563,1052565,71.3,683299,46.3,308045,347425,27824,5,1667316,112997,354895
New Mexico,1442775,68807,89006,1258002,59995,1248180,77001,797952,38.1,790432,48.8,493018,23.5,489111,30.2,738075,655200,49500,0,23527,567957,664964,1554,201696,268118,22796,408,201602,264344,22757,408,470222,38.1,790432,48.8,22.4,466354,28.8,797952,283585,75.1,194439,51.5,86087,99934,8174,244,464358,122974,382085
Nevada,1704450,55336,71390,1348526,43781,1346476,56396,853774,27.7,852087,35.7,492187,16,491859,20.6,859950,789600,54900,0,29286,589427,729813,0,204984,258315,28886,2,204963,258011,28883,2,463301,27.7,852087,35.7,15,462976,19.4,853774,343514,69.3,246724,49.7,110938,127248,8537,1,597538,120478,343659
New York State,11913695,61242,77235,9261975,47611,9239108,59896,6051597,31.1,6033901,39.1,3285602,16.9,3280271,21.3,6146595,5409700,357400,0,213196,4259152,4788375,1252,1406444,1667947,210975,236,1406258,1662856,210921,236,3074627,31.1,6033901,39.1,15.8,3069350,19.9,6051597,2197542,66.7,1391579,42.2,638657,690786,61986,150,3528809,107059,361443
Ohio,6921325,59212,75966,5295592,45304,5285883,58016,3399897,29.1,3392087,37.2,1970300,16.9,1968556,21.6,3493425,3188200,239700,0,147209,2508125,2635901,4357,907376,917021,144701,1202,907322,915369,144667,1198,1825599,29.1,3392087,37.2,15.6,1823889,20,3399897,1474801,72.1,1119305,54.7,498289,579535,40675,806,2583070,126230,338233
Oklahoma,2677545,67667,89111,1930169,48779,1920039,63900,1224792,31,1216279,40.5,704689,17.8,703361,23.4,1296945,1294300,86300,0,32145,897952,1000061,11,306597,366127,31964,1,306559,364849,31952,1,672725,31,1216279,40.5,17,671409,22.3,1224792,469147,73.9,353118,55.6,184437,161781,6900,0,823600,129674,421573
Oregon,2449855,58085,73104,1854126,43960,1847829,55140,1187225,28.1,1182848,35.3,703262,16.7,701324,20.9,1210755,1149700,89400,0,40688,878703,933606,1129,314266,348326,40479,191,314082,346602,40449,191,662783,28.1,1182848,35.3,15.7,660875,19.7,1187225,548841,71.6,299841,39.1,123033,152607,24106,95,818464,106838,319791
Pennsylvania,7659555,59831,75335,6056762,47311,6042926,59434,4071410,31.8,4060967,39.9,2128284,16.6,2124619,20.9,3874455,3547400,237700,0,131640,2826628,3098369,125,939224,1054968,133985,107,939017,1051572,133924,106,1994299,31.8,4060967,39.9,15.6,1990695,19.6,4071410,1782666,74.5,980490,41,474645,487352,18428,65,2750622,114927,320033
Puerto Rico,2010390,62949,76704,1088065,34069,1087284,41484,708489,22.2,707812,27,404691,12.7,404545,15.4,987090,959100,64200,0,18756,440619,628436,254,152604,233245,18834,8,152583,233130,18824,8,385857,22.2,707812,27,12.1,385721,14.7,708489,312980,57.6,184136,33.9,80005,99527,4603,1,488947,90057,370287
Rhode Island,652615,61605,76341,559186,52785,558372,65317,349215,33,348567,40.8,221888,20.9,221714,25.9,327015,303800,21800,0,13365,266897,278922,2,106556,102096,13233,3,106552,101926,13233,3,208655,33,348567,40.8,19.7,208481,24.4,349215,156072,83.4,116672,62.4,52665,61811,2194,2,270318,144520,348906
Republic of Palau,15000,83766,107396,13381,74725,13381,95804,8406,46.9,8406,60.2,5251,29.3,5251,37.6,0,14600,400,0,143,13237,1,0,5094,14,143,0,5094,14,143,0,5108,46.9,8406,60.2,28.5,5108,36.6,8406,1450,47.6,1342,44.1,1251,8,83,0,2674,87845,492773
South Carolina,2868095,55705,71036,2150462,41767,2146063,53153,1403522,27.3,1399716,34.7,774353,15,773798,19.2,1470495,1286000,111600,0,48504,830355,1270578,1025,259530,467326,47294,203,259493,466850,47252,203,727059,27.3,1399716,34.7,14.1,726546,18,1403522,688176,73.4,505564,54,198630,296991,9803,140,1186164,126589,306086
South Dakota,618745,69942,92688,496601,56135,494724,74110,308289,34.8,306864,46,198087,22.4,197640,29.6,290745,306900,21100,0,8784,242800,245004,13,93484,95864,8734,5,93470,95434,8731,5,189353,34.8,306864,46,21.4,188909,28.3,308289,127507,84,104397,68.7,51879,51251,1265,2,228916,150731,407415
Tennessee,3804790,55714,71530,2655309,38882,2650635,49832,1711847,25.1,1707504,32.1,942765,13.8,942406,17.7,1868490,1796100,140200,0,54864,1239268,1358043,3134,412668,474703,54537,857,412645,474438,54467,856,888228,25.1,1707504,32.1,13,887939,16.7,1711847,755612,66.1,528085,46.2,262428,254734,10345,578,1299011,113610,332763
Texas,16084645,55472,74479,11604088,40020,11544023,53454,7476870,25.8,7437189,34.4,3973093,13.7,3952007,18.3,8348145,7152000,584500,0,282288,5316868,6004353,579,1731154,1965070,276434,435,1721966,1954641,274967,433,3697036,25.8,7437189,34.4,12.8,3677416,17,7476870,2660271,71.2,1733858,46.4,755476,857557,120636,190,4255358,113955,430735
Utah,1627020,50750,71524,1327487,41407,1321251,58083,814168,25.4,809274,35.6,365896,11.4,364969,16,779220,791200,56600,0,32690,613067,681730,0,157229,177732,30935,0,157172,176888,30909,0,334961,25.4,809274,35.6,10.4,334060,14.7,814168,280161,76.6,157349,43,61619,89488,6242,0,496326,135656,444697
Virginia,4907455,57495,73524,4056991,47531,4042211,60560,2671921,31.3,2659708,39.8,1457374,17.1,1454810,21.8,2493855,2250000,163600,0,93286,1839507,2123380,818,626986,737076,93060,252,626709,734939,92910,252,1364314,31.3,2659708,39.8,16,1361900,20.4,2671921,1007162,74.1,664082,48.9,298184,333637,32078,183,1643083,120912,361133
Veterans Health,4598775,N/A,N/A,3910012,N/A,3909845,N/A,2318323,N/A,2318214,N/A,1653229,N/A,1653167,N/A,2091375,2417300,90100,0,63324,2087475,1759211,2,850995,738938,63295,1,850975,738901,63290,1,1589934,N/A,2318214,N/A,0,1589877,0,2318323,1339579,0,1110750,0,613101,474159,23489,1,2427259,0,0
Virgin Islands,57260,54700,70129,40979,39147,40671,49811,24921,23.8,24725,30.3,14389,13.7,14311,17.5,36660,20100,500,0,90,16377,24512,0,6442,7852,95,0,6437,7779,95,0,14294,23.8,24725,30.3,13.7,14216,17.4,24921,8801,49.5,5762,32.4,3018,2690,54,0,14638,82254,321758
Vermont,417840,66963,81932,328451,52637,327716,64260,209145,33.5,208547,40.9,117656,18.9,117509,23,201240,202900,13700,0,5939,158725,163551,236,53892,58009,5690,65,53881,57877,5686,65,111966,33.5,208547,40.9,17.9,111823,21.9,209145,109299,87.4,63582,50.8,27213,36212,115,42,177153,141678,334168
Washington,4495070,59030,75524,3586736,47102,3577132,60101,2272698,29.8,2264732,38.1,1365670,17.9,1364046,22.9,2282670,2058200,154200,0,75253,1647340,1861529,2614,609332,680454,75379,505,609263,678913,75365,505,1290291,29.8,2264732,38.1,16.9,1288681,21.7,2272698,952133,78.7,718631,59.4,333256,359326,25683,366,1659408,137173,371578
Wisconsin,3355325,57628,73649,2905410,49900,2896884,63586,1850625,31.8,1843412,40.5,1079684,18.5,1078519,23.7,1676025,1565300,114000,0,56623,1316087,1532474,226,458750,565989,54883,62,458717,564892,54848,62,1024801,31.8,1843412,40.5,17.6,1023671,22.5,1850625,816270,80.2,620985,61,299666,314461,6825,33,1455759,143108,329845
West Virginia,1136405,63410,79326,874459,48794,870444,60761,537000,30,533349,37.2,336742,18.8,336417,23.5,541905,561800,32700,0,8294,430599,435566,0,156055,171898,8766,23,155997,171644,8753,23,327976,30,533349,37.2,18.3,327664,22.9,537000,242597,66.1,186848,50.9,90496,94627,1711,14,431406,117546,309638
Wyoming,378565,65410,85066,262406,45339,261803,58829,156910,27.1,156438,35.2,105052,18.2,104921,23.6,172965,192800,12800,0,5274,130987,126049,96,50026,50157,4847,22,50022,50031,4846,22,100205,27.1,156438,35.2,17.3,100075,22.5,156910,67709,68.3,56608,57.1,28984,26745,866,13,124009,125036,381699
