COVID-19 Vaccinations in the United States
Date generated: Mon Apr 19 2021 10:34:22 GMT-0500 (CDT)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Dept of Defense,3255200,N/A,N/A,2547655,N/A,2534433,N/A,1606946,N/A,1596045,N/A,924946,N/A,922945,N/A,1739400,1351400,164400,0,61563,1139022,1346671,399,381464,484834,58648,0,381426,482887,58632,0,866298,N/A,1596045,N/A,0,864313,0,1606946,155027,0,102829,0,35207,64785,2837,0,263500,0,0
Delaware,818475,84053,106269,648557,66603,643981,83613,405029,41.6,401542,52.1,249397,25.6,248974,32.3,426075,341800,50600,0,24976,259660,363739,182,89487,135304,24526,80,89472,134915,24507,80,224871,41.6,401542,52.1,23.1,224467,29.1,405029,161126,85.3,130131,68.9,52996,70724,6361,50,292824,155010,433271
Florida,17807745,82913,103246,13397449,62378,13336371,77322,8200956,38.2,8145919,47.2,5221061,24.3,5215497,30.2,9030645,7433300,1343800,0,526694,5892631,6958093,20031,2148571,2544314,521636,6540,2147954,2539618,521385,6540,4699425,38.2,8145919,47.2,21.9,4694112,27.2,8200956,3688726,82,2955840,65.7,1469414,1356161,124942,5323,6917554,153814,395962
Federated States of Micronesia,63200,60979,78177,29412,28378,29395,36361,18080,17.4,18064,22.3,11473,11.1,11472,14.2,0,61600,1600,0,95,29317,0,0,11354,21,98,0,11353,21,98,0,11375,17.4,18064,22.3,11,11374,14.1,18080,1647,9.3,1186,6.7,1154,5,27,0,2782,15790,358704
Georgia,8033225,75661,99010,5462269,51446,5418183,66780,3443914,32.4,3404491,42,2025794,19.1,2021037,24.9,4113525,3421800,497900,0,136966,2518662,2806341,300,937915,952975,134701,203,937783,948547,134504,203,1891093,32.4,3404491,42,17.8,1886533,23.3,3443914,1127000,74.3,899246,59.3,510866,370730,17527,123,2084172,137392,529563
Guam,140740,84902,108848,111474,67247,109700,84842,69441,41.9,67787,52.4,42434,25.6,42315,32.7,76440,53200,11100,0,1184,44770,65520,0,17811,23434,1189,0,17809,23317,1189,0,41245,41.9,67787,52.4,24.9,41126,31.8,69441,13274,47.1,11048,39.2,4672,6280,96,0,24390,86548,499414
Hawaii,1269070,89632,113716,937276,66198,932480,83555,560693,39.6,556362,49.9,402153,28.4,401039,35.9,675870,523200,70000,0,19311,325622,498583,93760,134861,229488,19747,18057,134781,228538,19680,18040,382406,39.6,556362,49.9,27,381359,34.2,560693,185762,69.2,152546,56.8,60354,86426,4357,1409,332017,123680,472743
Iowa,2481445,78649,102192,2102984,66654,2089333,86043,1288328,40.8,1276727,52.6,895032,28.4,893033,36.8,1211145,1107900,162400,0,89687,997147,1016031,119,416642,389897,88453,40,416609,387970,88414,40,806579,40.8,1276727,52.6,25.6,804619,33.1,1288328,463128,83.8,411491,74.4,221573,182632,7256,30,871151,157545,448762
Idaho,1283065,71797,95832,974591,54536,974554,72790,572799,32.1,572724,42.8,414466,23.2,414441,31,644865,555100,83100,0,29872,439374,504926,419,179110,205432,29793,131,179107,205420,29783,131,384673,32.1,572724,42.8,21.5,384658,28.7,572799,218166,75.1,194862,67,90831,97438,6537,56,411258,141486,441416
Indian Health Svc,1657885,79598,N/A,1160071,55697,1136750,N/A,685097,32.9,670350,N/A,486527,23.4,477990,N/A,694785,890100,73000,0,18998,647362,493711,0,257971,209705,18851,0,257838,201330,18822,0,467676,32.9,670350,N/A,22.5,459168,0,685097,142116,0,110238,0,62843,45403,1992,0,253321,0,0
Illinois,10246165,80858,103980,8189755,64630,8127314,82478,5284445,41.7,5228511,53.1,3183082,25.1,3173188,32.2,5207865,4329100,709200,0,298704,3575326,4311548,4177,1327018,1555119,299539,1406,1326176,1547247,298361,1404,2883543,41.7,5228511,53.1,22.8,2874827,29.2,5284445,1665270,81.5,1232897,60.3,573828,612740,45442,887,2852722,139618,501469
Indiana,4775740,70939,92477,3685577,54745,3667928,71025,2235127,33.2,2220120,43,1534209,22.8,1533182,29.7,2385240,2053200,337300,0,123456,1568213,1987448,6460,618047,791759,122260,2143,618000,790844,122196,2142,1411949,33.2,2220120,43,21,1410986,27.3,2235127,832559,76.7,746550,68.8,376275,353807,15016,1452,1586723,146142,439859
Kansas,2361115,81046,106690,1815877,62330,1803424,81490,1169036,40.1,1157189,52.3,771917,26.5,769690,34.8,1153815,1064200,143100,0,55945,852066,907381,485,351408,363871,56503,135,351368,361719,56468,135,715414,40.1,1157189,52.3,24.6,713222,32.2,1169036,410738,86.4,330931,69.6,161348,159196,10310,77,711711,149680,496568
Kentucky,3429405,76760,98978,2849292,63776,2831205,81713,1730961,38.7,1716711,49.5,1232184,27.6,1228884,35.5,1704105,1503800,221500,0,105511,1293313,1450204,264,531785,597258,102951,190,531726,594068,102901,189,1129233,38.7,1716711,49.5,25.3,1125983,32.5,1730961,591525,78.8,489952,65.3,220431,244598,24806,117,1040444,138622,456910
Louisiana,3513250,75573,98655,2489654,53555,2477996,69584,1438593,30.9,1429334,40.1,1083119,23.3,1080830,30.4,1768650,1522200,222400,0,89251,1133371,1266080,952,446408,550637,85609,465,446346,548480,85540,464,997510,30.9,1429334,40.1,21.5,995290,27.9,1438593,543601,73.4,481559,65,221820,243986,15661,92,1031343,139178,474109
Massachusetts,5967370,86578,107720,5170513,75016,5132652,92652,3333025,48.4,3300733,59.6,2021713,29.3,2015653,36.4,3035370,2556000,376000,0,207568,2288127,2674745,73,869854,943625,208220,14,869522,938475,207642,14,1813493,48.4,3300733,59.6,26.3,1808011,32.6,3333025,1040717,89,841799,72,385300,403936,52554,9,1829380,156447,510323
Maryland,4967520,82166,105445,4063087,67206,4032669,85601,2581378,42.7,2555512,54.2,1679382,27.8,1675187,35.6,2569320,2086600,311600,0,183411,1777442,2099700,2534,694178,806850,177643,711,694101,802823,177552,711,1501739,42.7,2555512,54.2,24.8,1497635,31.8,2581378,785057,81.8,660683,68.9,321371,300677,38310,325,1392341,145127,517776
Maine,1144750,85161,104508,1007762,74970,1003307,91595,652227,48.5,648038,59.2,433691,32.3,433373,39.6,563550,501000,80200,0,69921,446742,491004,95,175735,188036,69896,24,175709,187771,69869,24,363795,48.5,648038,59.2,27.1,363504,33.2,652227,253666,88.9,221717,77.7,97667,106726,17313,11,455672,159736,401294
Marshall Islands,51300,87823,112594,24248,41511,24204,53123,13782,23.6,13745,30.2,10466,17.9,10457,23,0,40500,10800,0,35,24213,0,0,10424,3,39,0,10415,3,39,0,10427,23.6,13745,30.2,17.9,10418,22.9,13782,887,8.9,686,6.9,683,0,3,0,1570,15811,516616
Michigan,7872710,78831,100380,6158414,61665,6114016,77956,3860219,38.7,3818615,48.7,2596633,26,2592847,33.1,3962010,3390000,520700,0,224818,2721990,3210376,1230,1114674,1252284,229198,477,1114536,1248753,229081,477,2367435,38.7,3818615,48.7,23.7,2363766,30.1,3860219,1356468,76.8,1184983,67.1,595837,544329,44488,329,2469533,139885,445945
Minnesota,4194140,74369,96718,3787015,67150,3760624,86721,2380215,42.2,2357517,54.4,1624725,28.8,1620558,37.4,2127840,1798700,267600,0,194178,1643913,1948698,226,650207,778032,196427,59,650121,774081,196297,59,1428298,42.2,2357517,54.4,25.3,1424261,32.8,2380215,790071,85.8,705825,76.7,298815,369320,37666,24,1441607,156631,455696
Missouri,4715505,76832,98923,3508767,57170,3489752,73209,2105299,34.3,2089707,43.8,1418385,23.1,1416194,29.7,2476305,1963100,276100,0,115859,1408604,1983965,339,550106,751662,116566,51,550020,749666,116458,50,1301819,34.3,2089707,43.8,21.2,1299736,27.3,2105299,775912,73.1,642925,60.5,294319,324480,24105,21,1433911,135015,444006
Northern Mariana Islands,62910,110597,141791,36062,63398,35609,80258,20549,36.1,20172,45.5,15552,27.3,15476,34.9,42510,17800,2600,0,43,4772,31247,0,2019,13486,47,0,2019,13410,47,0,15505,36.1,20172,45.5,27.3,15429,34.8,20549,2368,24.5,2227,23,332,1856,39,0,4558,47135,650569
Mississippi,2246015,75467,98615,1466965,49291,1461376,64164,875338,29.4,870896,38.2,632832,21.3,631654,27.7,1095315,999700,151000,0,44548,713134,708425,858,300248,289045,43517,22,300210,287940,43482,22,589315,29.4,870896,38.2,19.8,588172,25.8,875338,343576,70.6,284117,58.4,151197,121023,11891,6,610623,125464,461485
Montana,899445,84156,107053,678296,63465,672754,80072,406872,38.1,402536,47.9,291091,27.2,289914,34.5,431145,407200,61100,0,21393,326768,329963,172,136206,133832,21000,53,136164,132709,20988,53,270091,38.1,402536,47.9,25.3,268926,32,406872,157051,76.1,135007,65.4,65341,64601,5035,30,285704,138398,435700
North Carolina,8309510,79228,101492,6244401,59538,6191210,75619,3807889,36.3,3764863,46,2594167,24.7,2583474,31.6,4281810,3483800,543900,0,233793,2635329,3374950,329,1022324,1341464,230351,28,1021731,1332159,229556,28,2363816,36.3,3764863,46,22.5,2353918,28.8,3807889,1321827,75.5,1131262,64.6,534649,571710,24881,22,2475189,141351,474532
North Dakota,590480,77485,101476,525541,68963,521185,89567,289263,38,286277,49.2,225263,29.6,224227,38.5,289380,269500,31600,0,21640,232036,271865,0,96320,109883,19059,1,96266,108969,18991,1,206204,38,286277,49.2,27.1,205236,35.3,289263,96056,80.2,83113,69.4,41037,39326,2750,0,184460,153915,492703
Nebraska,1556360,80457,106722,1267986,65549,1259363,86356,781202,40.4,773637,53,532581,27.5,531425,36.4,789360,670400,96600,0,50700,549270,665792,2224,219503,261301,51149,628,219459,260214,51124,628,481432,40.4,773637,53,24.9,480301,32.9,781202,257717,82.5,228481,73.1,110198,114193,3621,469,488354,156294,498102
New Hampshire,1096375,80633,99268,1099300,80848,1091222,98802,792262,58.3,785114,71.1,386859,28.5,386016,35,535275,478300,82800,0,49913,476745,572615,27,170897,164954,50995,13,170753,164275,50975,13,335864,58.3,785114,71.1,24.7,335041,30.3,792262,288467,99.9,180672,71.2,81303,87430,11931,8,445943,175662,431875
New Jersey,7169475,80717,103253,6269398,70584,6222381,89613,4082643,46,4045521,58.3,2637550,29.7,2626980,37.8,3717675,3006500,445300,0,267273,2774212,3227438,475,1109884,1258205,269441,20,1109738,1247888,269335,19,2368109,46,4045521,58.3,26.7,2357645,34,4082643,1211611,82.1,952667,64.6,443006,447449,62201,11,2057030,139409,485890
New Mexico,1882565,89782,116137,1627241,77605,1611711,99428,1002327,47.8,990999,61.1,677945,32.3,671847,41.4,945165,813000,124400,0,45443,720282,859474,2042,274421,358324,44629,571,274293,352433,44550,571,633316,47.8,990999,61.1,30.2,627297,38.7,1002327,317719,84.1,245972,65.1,111202,122088,12332,350,545857,144557,498553
Nevada,2202110,71493,92234,1834497,59559,1822893,76351,1123822,36.5,1113277,46.6,739071,24,738113,30.9,1126710,928500,146900,0,70877,764895,998725,0,292801,376217,70049,4,292770,375308,70031,4,669022,36.5,1113277,46.6,21.7,668082,28,1123822,371545,74.9,307206,61.9,145867,146897,14439,3,682631,137635,443999
New York State,16098245,82752,104363,13531789,69559,13442396,87145,8322102,42.8,8246938,53.5,5576166,28.7,5561645,36.1,8346195,6799900,952150,0,562670,5916425,7050388,2306,2303308,2715035,557353,470,2302950,2701145,557083,467,5018813,42.8,8246938,53.5,25.8,5004562,32.4,8322102,2468359,74.9,2046062,62.1,984570,947564,113655,273,4414985,133944,488396
Ohio,9214895,78833,101139,7339803,62792,7286299,79972,4406863,37.7,4359069,47.8,3076770,26.3,3072097,33.7,4804995,3875400,534500,0,282599,3226214,3824533,6457,1294900,1506810,273199,1861,1294820,1502319,273103,1855,2803571,37.7,4359069,47.8,24,2798994,30.7,4406863,1578731,77.1,1398383,68.3,643377,696195,57664,1147,2960703,144684,450315
Oklahoma,3385565,85560,112674,2474956,62547,2452669,81627,1458109,36.8,1442740,48,1032400,26.1,1026032,34.1,1690065,1502800,192700,0,65182,1143866,1265874,34,452300,515591,64489,20,452202,509353,64457,20,967911,36.8,1442740,48,24.5,961575,32,1458109,498606,78.5,406107,63.9,212535,181592,11975,5,902162,142043,533049
Oregon,3219255,76327,96063,2595396,61535,2578012,76929,1637060,38.8,1622814,48.4,1053435,25,1049953,31.3,1585155,1407500,226600,0,90213,1162955,1340821,1407,456760,507143,89289,243,456483,504202,89026,242,964146,38.8,1622814,48.4,22.9,960927,28.7,1637060,594615,77.6,493921,64.5,219645,242657,31495,124,1050093,137074,420224
Pennsylvania,10649235,83184,104739,8517810,66535,8478691,83391,5525174,43.2,5492696,54,3346275,26.1,3338716,32.8,5283135,4516600,849500,0,323782,3676954,4516853,221,1313105,1703716,329275,179,1312792,1696610,329136,178,3017000,43.2,5492696,54,23.6,3009580,29.6,5525174,2080647,86.9,1420657,59.4,651652,723786,45107,112,3462727,144680,444949
Puerto Rico,2704620,84686,103192,1561390,48890,1557398,59421,1001449,31.4,997507,38.1,624517,19.6,624236,23.8,1348620,1169600,186400,0,50943,621589,888590,268,228505,345010,50990,12,228477,344808,50939,12,573527,31.4,997507,38.1,18,573297,21.9,1001449,370644,68.3,282443,52,130787,142594,9059,3,640492,117970,498154
Rhode Island,895785,84559,104787,776082,73259,772748,90394,475139,44.9,472293,55.2,334820,31.6,334324,39.1,456885,385200,53700,0,37486,339660,398912,24,138081,159444,37292,3,138076,158967,37278,3,297528,44.9,472293,55.2,28.1,297046,34.7,475139,166432,89,149291,79.8,69883,74630,4776,2,311461,166516,478912
Republic of Palau,24600,137376,176129,16544,92388,16544,118451,8928,49.9,8928,63.9,7970,44.5,7970,57.1,0,20800,3800,0,197,16346,1,0,7758,15,197,0,7758,15,197,0,7773,49.9,8928,63.9,43.4,7773,55.7,8928,1477,48.5,1440,47.3,1341,8,91,0,2785,91491,808147
South Carolina,3914045,76020,96942,2908640,56493,2890775,71598,1769087,34.4,1753689,43.4,1191167,23.1,1188728,29.4,2049645,1607400,257000,0,95768,1147253,1664564,1055,426037,671655,93268,207,425906,669545,93070,207,1097899,34.4,1753689,43.4,21.3,1095658,27.1,1769087,735550,78.5,603490,64.4,250890,334760,17699,141,1325555,141465,417711
South Dakota,802795,90746,120258,635646,71852,630872,94504,380338,43,376392,56.4,275463,31.1,274614,41.1,378495,371000,53300,0,18029,295726,321878,13,125683,131684,18090,6,125661,130864,18083,6,257373,43,376392,56.4,29.1,256531,38.4,380338,132865,87.5,119845,78.9,61943,55353,2546,3,247474,162950,528603
Tennessee,5103860,74736,95953,3562769,52170,3543727,66622,2184332,32,2168027,40.8,1395098,20.4,1392549,26.2,2595060,2182300,326500,0,106510,1587382,1864290,4587,601652,688140,103982,1324,601559,685801,103867,1322,1291116,32,2168027,40.8,18.9,1288682,24.2,2184332,818169,71.6,654585,57.2,336014,298882,18835,854,1491274,130425,446378
Texas,21453555,73988,99340,16539082,57039,16376175,75829,10146230,35,10043961,46.5,6458707,22.3,6393606,29.6,10902255,8967300,1584000,0,627962,7326233,8584192,695,2684698,3158118,615340,551,2657637,3126285,609138,545,5844739,35,10043961,46.5,20.2,5785827,26.8,10146230,3363476,90.1,2901252,77.7,1205966,1418627,276411,248,5062465,135569,574511
Utah,2166920,67590,95259,1871243,58368,1848623,81266,1136303,35.4,1117232,49.1,623854,19.5,620793,27.3,1071720,957400,137800,0,82269,814582,974392,0,247012,297570,79272,0,246929,294674,79190,0,544582,35.4,1117232,49.1,17,541603,23.8,1136303,299871,82,195087,53.3,83957,100984,10146,0,555394,151800,592262
Virginia,6777945,79409,101547,5673591,66470,5627744,84315,3590206,42.1,3552436,53.2,2266985,26.6,2258300,33.8,3449745,2913600,414600,0,212640,2417807,3041749,1395,922289,1132636,211633,427,921671,1125177,211025,427,2055352,42.1,3552436,53.2,24.1,2047275,30.7,3590206,1100212,81,896901,66,428580,421052,46983,286,1957136,144023,498780
Veterans Health,5960085,N/A,N/A,4650943,N/A,4650600,N/A,2600747,N/A,2600480,N/A,2162987,N/A,2162897,N/A,2621385,2818500,520200,0,114833,2431898,2104210,2,1089826,958394,114766,1,1089805,958340,114751,1,2048221,N/A,2600480,N/A,0,2048146,0,2600747,1411063,0,1281433,0,715207,526639,39586,1,2653403,0,0
Virgin Islands,63440,60604,77697,56290,53773,55768,68301,31372,30,31073,38.1,22808,21.8,22637,27.7,41340,21400,700,0,298,18909,37083,0,7855,14641,312,0,7850,14475,312,0,22496,30,31073,38.1,21.5,22325,27.3,31372,10668,59.9,8351,46.9,3553,4667,131,0,19016,106855,356485
Vermont,570360,91405,111839,474833,76096,473045,92757,294659,47.2,293250,57.5,194015,31.1,193619,38,278460,251700,40200,0,23284,212819,238216,514,79030,91838,22970,177,79017,91472,22953,177,171045,47.2,293250,57.5,27.4,170666,33.5,294659,116372,93.1,95866,76.7,45112,50088,548,118,217015,173558,456146
Washington,5999170,78782,100795,4965443,65207,4937234,82953,3070660,40.3,3048249,51.2,2050248,26.9,2044617,34.4,2996370,2609200,393600,0,191578,2130031,2640577,3257,816790,1041084,191637,737,816681,1035656,191543,737,1858611,40.3,3048249,51.2,24.4,1853074,31.1,3070660,1010538,83.5,886357,73.3,401330,447899,36620,508,1878044,155246,495913
Wisconsin,4542495,78017,99707,4061288,69752,4027030,88393,2460671,42.3,2432888,53.4,1679214,28.8,1674179,36.7,2215395,2043800,283300,0,168655,1752655,2139542,436,675089,841484,162451,190,675012,836611,162368,188,1516763,42.3,2432888,53.4,26.1,1511811,33.2,2460671,864094,84.9,779851,76.7,381500,382127,16145,79,1666619,163837,446550
West Virginia,1522165,84935,106253,1084345,60505,1074335,74993,618986,34.5,611242,42.7,476666,26.6,474632,33.1,703365,723300,95500,0,19004,523135,542206,0,220143,236640,19832,51,220051,234723,19807,51,456834,34.5,611242,42.7,25.5,454825,31.7,618986,254987,69.5,224087,61.1,114792,105997,3264,34,477574,130125,414746
Wyoming,468615,80969,105301,323699,55930,322090,72376,186359,32.2,185119,41.6,139721,24.1,139420,31.3,213915,223300,31400,0,11165,156817,155542,175,63511,65701,10483,26,63506,65409,10479,26,129238,32.2,185119,41.6,22.3,128941,29,186359,71259,71.8,63344,63.9,32778,28860,1693,13,133232,134335,472494
