COVID-19 Vaccinations in the United States
Date generated: Thu Mar 25 2021 14:47:29 GMT-0500 (CDT)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Dept of Defense,2335330,N/A,N/A,1712296,N/A,1707279,N/A,1078078,N/A,1073814,N/A,599739,N/A,599146,N/A,1223430,1060000,51900,0,15566,796443,899888,399,262522,324566,12651,0,262491,324011,12644,0,587088,N/A,1073814,N/A,0,586502,0,1078078,126136,0,71218,0,22769,48026,423,0,201706,0,0
Delaware,532845,54720,69183,406635,41759,406184,52738,265056,27.2,264679,34.4,138495,14.2,138424,18,275145,244200,13500,0,6838,175615,224134,48,62120,69130,7227,18,62108,69072,7226,18,131268,27.2,264679,34.4,13.5,131198,17,265056,144465,76.5,85896,45.5,40179,40941,4765,11,231249,122415,282069
Florida,11575805,53897,67115,8603007,40055,8591766,49814,5403866,25.2,5394006,31.3,3002731,14,3001411,17.4,5810805,5393100,371900,0,192621,4142512,4256084,11790,1379030,1428568,191234,3899,1378450,1427912,191150,3899,2811497,25.2,5394006,31.3,13.1,2810261,16.3,5403866,3289311,73.1,2175602,48.4,1044920,1060589,66742,3351,5748015,127809,257392
Federated States of Micronesia,47400,45734,58633,23026,22217,23021,28477,13951,13.5,13946,17.3,9127,8.8,9127,11.3,0,46600,800,0,0,23026,0,0,9107,19,1,0,9107,19,1,0,9126,13.5,13946,17.3,8.8,9126,11.3,13951,1335,7.6,973,5.5,969,4,0,0,2281,12946,269028
Georgia,5174215,48733,63773,3434860,32351,3429101,42264,2179249,20.5,2174032,26.8,1208667,11.4,1208057,14.9,2507115,2525900,141200,0,58889,1791541,1584178,252,634414,517705,56383,165,634342,517273,56277,165,1152284,20.5,2174032,26.8,10.9,1151780,14.2,2179249,1002026,66.1,710013,46.8,416933,285900,7078,102,1769922,116676,341092
Guam,87860,53002,67951,79350,47868,79198,61252,47355,28.6,47223,36.5,31248,18.9,31230,24.2,48360,38200,1300,0,29,37515,41806,0,15545,15675,28,0,15543,15659,28,0,31220,28.6,47223,36.5,18.8,31202,24.1,47355,12047,42.7,9916,35.2,4360,5550,6,0,22134,78542,311770
Hawaii,865280,61113,77534,642642,45388,641261,57460,410879,29,409127,36.7,242800,17.1,242533,21.7,468780,376400,20100,0,7237,229669,311976,93760,92155,125287,7334,18024,92109,125099,7318,18007,235466,29,409127,36.7,16.6,235215,21.1,410879,158444,59,93510,34.8,44586,45184,2333,1407,247877,92337,322327
Iowa,1636025,51854,67375,1369302,43400,1366518,56276,877325,27.8,875333,36,530038,16.8,529201,21.8,794625,796200,45200,0,35823,715446,617914,119,267528,226321,36172,17,267517,225506,36161,17,493866,27.8,875333,36,15.7,493040,20.3,877325,425172,76.9,277521,50.2,140599,134006,2905,11,699275,126462,295870
Idaho,863505,48320,64495,678747,37981,678719,50694,418189,23.4,418155,31.2,262073,14.7,262057,19.6,401505,438600,23400,0,12529,333883,332106,229,126342,123330,12351,50,126340,123322,12345,50,249722,23.4,418155,31.2,14,249712,18.7,418189,201213,69.2,141418,48.7,63833,73767,3790,28,340370,117098,297074
Indian Health Svc,1418595,68110,N/A,886247,42550,873325,N/A,562008,27,552723,N/A,323370,15.5,319781,N/A,581295,809600,27700,0,6081,494855,385311,0,168484,148918,5968,0,168405,145416,5960,0,317402,27,552723,N/A,15.2,313821,0,562008,131096,0,92579,0,51754,40210,615,0,225943,0,0
Illinois,6697605,52854,67969,5287852,41729,5274853,53530,3481498,27.5,3471396,35.2,1872114,14.8,1869149,19,3361605,3156600,179400,0,101024,2526673,2657928,2227,853327,919760,98308,719,853079,917223,98129,718,1773806,27.5,3471396,35.2,14,1771020,18,3481498,1432366,70.1,836106,40.9,404846,408944,21847,469,2243230,109788,327795
Indiana,3191470,47406,61799,2540707,37740,2539305,49171,1554964,23.1,1553948,30.1,1011271,15,1010870,19.6,1565070,1528000,98400,0,44202,1158269,1334635,3601,456573,509015,44433,1250,456539,508652,44429,1250,966838,23.1,1553948,30.1,14.4,966441,18.7,1554964,767622,70.7,629142,57.9,329874,292255,6094,919,1409938,129859,293943
Kansas,1586255,54448,71677,1140488,39147,1138044,51424,779552,26.8,777539,35.1,420310,14.4,419648,19,734955,810800,40500,0,16640,599906,523717,225,213295,189722,17197,96,213273,189089,17190,96,403113,26.8,777539,35.1,13.8,402458,18.2,779552,363330,76.4,209205,44,105644,99026,4472,63,546209,114874,333606
Kentucky,2258935,50562,65197,1876610,42004,1872257,54036,1271160,28.5,1267978,36.6,661734,14.8,661214,19.1,1117935,1085100,55900,0,40914,901153,934415,128,300204,322670,38773,87,300186,322187,38754,87,622961,28.5,1267978,36.6,13.9,622460,18,1271160,520372,69.3,309561,41.2,124094,173485,11923,59,801273,106756,300965
Louisiana,2411250,51868,67710,1756494,37784,1754206,49259,1113976,24,1111876,31.2,655710,14.1,655533,18.4,1183650,1162400,65200,0,47068,773530,935091,805,242364,367209,45774,363,242346,367079,45746,362,609936,24,1111876,31.2,13.1,609787,17.1,1113976,503124,67.9,387338,52.3,165014,211695,10556,73,898096,121197,325395
Massachusetts,3773250,54744,68113,3196050,46370,3188411,57556,2107488,30.6,2102133,37.9,1137413,16.5,1135262,20.5,1823250,1848200,101800,0,77416,1563224,1555358,52,511255,548739,77411,8,511134,546749,77371,8,1060002,30.6,2102133,37.9,15.4,1057891,19.1,2107488,917260,78.4,543475,46.5,220237,285797,37437,4,1423874,121768,322684
Maryland,3256200,53860,69119,2464830,40770,2459678,52211,1671238,27.6,1666994,35.4,896207,14.8,895333,19,1638000,1534600,83600,0,61504,1181912,1219867,1547,401898,433408,60477,424,401854,432590,60465,424,835730,27.6,1666994,35.4,13.8,834868,17.7,1671238,691673,72.1,393126,41,179761,189252,23915,198,1043202,108735,339401
Maine,756610,56287,69073,620556,46165,620015,56603,414454,30.8,414103,37.8,231260,17.2,231053,21.1,350610,384000,22000,0,19316,303792,297397,51,105223,106603,19419,15,105202,106421,19415,15,211841,30.8,414103,37.8,15.8,211638,19.3,414454,228095,80,136319,47.8,54672,71626,10014,7,352391,123531,265231
Marshall Islands,35800,61288,78574,19343,33114,19310,42382,12225,20.9,12195,26.8,7072,12.1,7067,15.5,0,35000,800,0,0,19343,0,0,7068,2,2,0,7063,2,2,0,7070,20.9,12195,26.8,12.1,7065,15.5,12225,823,8.3,514,5.2,512,0,2,0,1338,13474,360524
Michigan,5114300,51210,65209,3914742,39199,3911018,49867,2561046,25.6,2558067,32.6,1458881,14.6,1458089,18.6,2507700,2463900,142700,0,65951,1855922,1992869,0,617168,774803,66849,61,617099,774109,66820,61,1392032,25.6,2558067,32.6,13.9,1391269,17.7,2561046,1214325,68.8,783273,44.4,355314,408150,19761,48,1952439,110595,289696
Minnesota,2850840,50550,65741,2417606,42868,2413257,55650,1582691,28.1,1579130,36.4,900932,16,900083,20.8,1402440,1371100,77300,0,53942,1119690,1243779,195,377710,468815,54360,47,377675,468017,54344,47,846572,28.1,1579130,36.4,15,845739,19.5,1582691,736961,80.1,468213,50.9,185335,253696,29163,19,1160273,126064,309745
Missouri,3091485,50371,64854,2276318,37089,2273408,47692,1452035,23.7,1449809,30.4,789831,12.9,789293,16.6,1568385,1438100,85000,0,38001,942316,1295697,304,293382,457092,39320,37,293344,456608,39305,36,750511,23.7,1449809,30.4,12.2,749988,15.7,1452035,682049,64.2,400763,37.7,169234,219009,12504,16,1106211,104159,291090
Northern Mariana Islands,44210,77722,99644,26016,45737,25958,58506,15143,26.6,15097,34,10888,19.1,10876,24.5,30810,12800,600,0,29,3304,22683,0,1127,9731,30,0,1127,9719,30,0,10858,26.6,15097,34,19.1,10846,24.4,15143,2229,23.1,2019,20.9,285,1707,27,0,4223,43671,457187
Mississippi,1557815,52343,68398,1049528,35265,1048456,46034,679635,22.8,678717,29.8,392516,13.2,392371,17.2,732615,782500,42700,0,23182,538861,486756,729,189941,179994,22569,12,189917,179880,22562,12,369947,22.8,678717,29.8,12.4,369809,16.2,679635,307380,63.2,210303,43.2,109301,94171,6827,4,505947,103956,320082
Montana,603585,56474,71839,463857,43401,462367,55031,296319,27.7,295190,35.1,175996,16.5,175648,20.9,269685,317600,16300,0,7723,243878,212142,114,89298,78983,7686,29,89278,78658,7683,29,168310,27.7,295190,35.1,15.7,167965,20,296319,140146,67.9,94740,45.9,45718,46604,2403,15,230794,111799,292382
North Carolina,5321170,50735,64992,4240056,40427,4227841,51639,2775957,26.5,2764931,33.8,1514708,14.4,1513363,18.5,2688270,2485900,147000,0,111894,1811819,2316014,329,568927,835824,109931,26,568796,834823,109718,26,1404777,26.5,2764931,33.8,13.4,1403645,17.1,2775957,1229412,70.2,927610,53,417425,494263,15902,20,2185138,124787,303877
North Dakota,423440,55565,72770,369029,48425,367756,63200,225684,29.6,224722,38.6,132641,17.4,132390,22.8,205140,207200,11100,0,7599,175254,186176,0,61068,64693,6880,0,61050,64470,6870,0,125761,29.6,224722,38.6,16.5,125520,21.6,225684,90497,75.5,67794,56.6,32995,33559,1240,0,163766,136648,353323
Nebraska,1028490,53168,70525,836012,43218,834212,57203,540911,28,539553,37,308676,16,308224,21.1,519090,477900,31500,0,20127,392867,421326,1692,138552,148983,20674,467,138523,148566,20668,467,288002,28,539553,37,14.9,287556,19.7,540911,239355,76.6,157296,50.3,70567,84775,1587,367,399251,127777,329161
New Hampshire,710345,52242,64316,566168,41639,564577,51118,395378,29.1,394166,35.7,206493,15.2,206120,18.7,337545,353100,19700,0,13784,303748,248609,27,115624,76488,14375,6,115546,76207,14361,6,192118,29.1,394166,35.7,14.1,191759,17.4,395378,207212,81.6,104821,41.3,54906,41424,8488,3,293707,115695,279813
New Jersey,4684665,52742,67467,3869393,43564,3855464,55525,2661886,30,2651195,38.2,1405724,15.8,1402449,20.2,2321865,2240600,122200,0,80045,1892444,1896429,475,632523,693295,79899,7,632433,690132,79877,7,1325825,30,2651195,38.2,14.9,1322572,19,2661886,993523,67.3,583665,39.6,259848,300554,23258,5,1515486,102708,317489
New Mexico,1297585,61883,80049,1135178,54138,1126535,69497,722460,34.5,715714,44.2,440243,21,436907,27,659685,604600,33300,0,17662,518001,598135,1380,182252,240483,17156,352,182168,237259,17128,352,423087,34.5,715714,44.2,20.2,419779,25.9,722460,263138,69.7,174272,46.2,78330,89420,6308,214,425865,112780,343635
Nevada,1511590,49075,63312,1214518,39430,1213194,50814,776760,25.2,775739,32.5,433856,14.1,433576,18.2,733590,737600,40400,0,23934,540008,650576,0,184511,225630,23714,1,184491,225372,23712,1,410142,25.2,775739,32.5,13.3,409864,17.2,776760,333437,67.2,221161,44.6,97147,116408,7606,0,561088,113129,304773
New York State,10599425,54486,68715,7986362,41053,7969931,51668,5378106,27.6,5364422,34.8,2659823,13.7,2656893,17.2,5384925,4941700,272800,0,176784,3734818,4073728,1032,1190828,1293517,175283,195,1190660,1290792,175246,195,2484540,27.6,5364422,34.8,12.8,2481647,16.1,5378106,2080445,63.1,1157621,35.1,535822,567990,53684,125,3185132,96632,321570
Ohio,6190705,52961,67947,4679419,40032,4674364,51304,3031371,25.9,3027775,33.2,1722559,14.7,1721098,18.9,3065205,2955600,169900,0,129099,2264255,2282150,3915,799635,794804,127047,1073,799586,793416,127027,1069,1595512,25.9,3027775,33.2,13.6,1594071,17.5,3031371,1433539,70.1,973597,47.6,425674,509838,37355,730,2394243,117002,302529
Oklahoma,2460515,62182,81888,1753658,44318,1745669,58097,1130532,28.6,1123609,37.4,619062,15.6,618237,20.6,1192815,1204700,63000,0,25086,809189,919373,10,266040,328068,24953,1,266018,327274,24944,1,594109,28.6,1123609,37.4,15,593293,19.7,1130532,455968,71.8,333477,52.5,173411,154231,5835,0,791577,124632,387402
Oregon,2165585,51345,64622,1657083,39288,1652094,49299,1067154,25.3,1063893,31.7,618399,14.7,616677,18.4,1045785,1057400,62400,0,35100,800808,820100,1075,279920,303398,34904,177,279753,301862,34885,177,583495,25.3,1063893,31.7,13.8,581792,17.4,1067154,519589,67.8,240135,31.3,98187,119696,22167,85,731778,95522,282684
Pennsylvania,6814805,53232,67026,5325139,41596,5314285,52268,3601385,28.1,3593196,35.3,1843196,14.4,1840507,18.1,3330405,3288900,195500,0,114426,2528673,2681925,115,848696,877974,116435,91,848518,875472,116427,90,1726761,28.1,3593196,35.3,13.5,1724080,17,3601385,1628976,68.1,851242,35.6,424546,411286,15355,55,2471019,103245,284738
Puerto Rico,1765270,55274,67352,952499,29824,951910,36319,618414,19.4,617921,23.6,351547,11,351417,13.4,851370,867800,46100,0,13119,389310,549820,250,136619,201716,13205,7,136599,201615,13196,7,338342,19.4,617921,23.6,10.6,338221,12.9,618414,287878,53,148454,27.3,65727,79492,3235,0,429629,79132,325139
Rhode Island,586305,55345,68584,497475,46960,496862,58122,321271,30.3,320815,37.5,186246,17.6,186091,21.8,288405,282600,15300,0,11094,241808,244572,1,92552,82714,10979,1,92548,82563,10979,1,175267,30.3,320815,37.5,16.5,175112,20.5,321271,152876,81.7,91813,49.1,41011,49023,1779,0,242215,129495,313455
Republic of Palau,15000,83766,107396,13277,74144,13277,95060,8295,46.3,8295,59.4,5145,28.7,5145,36.8,0,14600,400,0,40,13236,1,0,5092,13,40,0,5092,13,40,0,5105,46.3,8295,59.4,28.5,5105,36.6,8295,1374,45.1,1266,41.6,1251,8,7,0,2598,85348,492773
South Carolina,2511895,48787,62214,1926363,37414,1923421,47639,1264061,24.6,1261582,31.2,686118,13.3,685647,17,1330095,1106500,75300,0,38096,733509,1153733,1025,219734,428871,37310,203,219703,428460,37281,203,648808,24.6,1261582,31.2,12.6,648366,16.1,1264061,667329,71.2,453721,48.4,167654,278180,7748,139,1113942,118881,268072
South Dakota,563745,63725,84449,445142,50318,443797,66481,279590,31.6,278624,41.7,172622,19.5,172251,25.8,267345,282400,14000,0,6256,221336,217537,13,82562,83802,6253,5,82548,83447,6251,5,166369,31.6,278624,41.7,18.8,166000,24.9,279590,125480,82.6,93773,61.7,44479,48274,1018,2,216820,142766,371200
Tennessee,3262400,47772,61333,2353612,34464,2350798,44195,1531296,22.4,1528724,28.7,815079,11.9,814803,15.3,1521000,1656300,85100,0,39545,1108109,1203156,2802,347477,427303,39543,756,347459,427103,39486,755,775536,22.4,1528724,28.7,11.4,775317,14.6,1531296,726196,63.5,461427,40.4,222737,230049,8128,513,1202287,105151,285326
Texas,14200005,48972,65753,10133617,34948,10087792,46711,6642893,22.9,6612071,30.6,3341681,11.5,3326177,15.4,7210905,6544600,444500,0,240960,4704907,5187337,413,1483845,1620958,236609,269,1476960,1613437,235511,268,3105403,22.9,6612071,30.6,10.7,3090995,14.3,6642893,2735544,73.3,1502420,40.2,667137,728783,106379,121,3898242,104392,380266
Utah,1476470,46054,64906,1213732,37859,1209267,53160,744143,23.2,740735,32.6,330233,10.3,329550,14.5,703170,733900,39400,0,29301,561267,623164,0,145131,157201,27901,0,145077,156596,27877,0,302332,23.2,740735,32.6,9.4,301673,13.3,744143,270539,73.9,140239,38.3,53151,81165,5923,0,463675,126731,403548
Virginia,4298625,50362,64402,3529449,41350,3519782,52733,2321609,27.2,2313965,34.7,1277347,15,1275329,19.1,2144025,2050800,103800,0,84707,1604983,1839047,712,555559,637182,84390,216,555315,635541,84257,216,1192957,27.2,2313965,34.7,14,1191072,17.8,2321609,954201,70.2,563997,41.5,251193,282920,29726,158,1490536,109686,316330
Veterans Health,4356075,N/A,N/A,3614889,N/A,3614750,N/A,2190679,N/A,2190592,N/A,1473258,N/A,1473203,N/A,1974375,2291600,90100,0,50741,1937360,1626787,1,758703,663839,50716,0,758686,663804,50713,0,1422542,N/A,2190592,N/A,0,1422490,0,2190679,1309571,0,1015248,0,550454,445465,19329,0,2305882,0,0
Virgin Islands,55690,53200,68206,35728,34131,35485,43460,22554,21.5,22381,27.4,11729,11.2,11689,14.3,35490,19800,400,0,0,14624,21104,0,5667,6056,6,0,5662,6021,6,0,11723,21.5,22381,27.4,11.2,11683,14.3,22554,8053,45.3,4980,28,2730,2245,5,0,13133,73797,312935
Vermont,374580,60030,73449,290680,46584,290159,56896,188433,30.2,188048,36.9,99990,16,99848,19.6,180180,184900,9500,0,4553,143450,142446,231,47525,47970,4430,65,47514,47842,4427,65,95560,30.2,188048,36.9,15.3,95421,18.7,188433,104516,83.6,48890,39.1,21290,27480,78,42,157267,125774,299571
Washington,3974140,52189,66772,3170650,41637,3163920,53159,2046826,26.9,2041367,34.3,1165721,15.3,1164458,19.6,1967940,1901200,105000,0,62456,1497126,1608591,2477,556604,545895,62772,450,556539,544704,62765,450,1102949,26.9,2041367,34.3,14.5,1101693,18.5,2046826,921115,76.1,624074,51.6,304184,296342,23212,336,1534939,126884,328517
Wisconsin,2923795,50216,64177,2576727,44255,2571026,56434,1647536,28.3,1642833,36.1,948879,16.3,947980,20.8,1419795,1428900,75100,0,46562,1186484,1343468,213,412542,490960,45317,60,412510,490124,45286,60,903562,28.3,1642833,36.1,15.5,902694,19.8,1647536,797205,78.4,552667,54.3,268380,279041,5214,32,1368023,134483,287423
West Virginia,1007155,56198,70304,793552,44279,791805,55271,489826,27.3,488387,34.1,300747,16.8,300461,21,465855,513800,27500,0,4972,395880,392700,0,142437,152792,5500,18,142381,152568,5494,18,295247,27.3,488387,34.1,16.5,294967,20.6,489826,235059,64,167901,45.7,80996,85620,1274,11,405391,110457,274421
Wyoming,350735,60601,78812,242919,41972,242495,54490,146634,25.3,146296,32.9,95709,16.5,95621,21.5,162435,179100,9200,0,3847,121750,117238,84,46241,45876,3576,16,46238,45792,3575,16,92133,25.3,146296,32.9,15.9,92046,20.7,146634,66489,67,53979,54.4,27398,25906,667,8,120381,121378,353638
