COVID-19 Vaccinations in the United States
Date generated: Wed Mar 24 2021 16:00:15 GMT-0500 (CDT)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Dept of Defense,2304230,N/A,N/A,1694545,N/A,1689549,N/A,1065778,N/A,1061534,N/A,593711,N/A,593119,N/A,1223430,1028900,51900,0,14920,791261,887965,399,260703,321003,12005,0,260672,320449,11998,0,581706,N/A,1061534,N/A,0,581121,0,1065778,125785,0,71071,0,22714,47936,421,0,201208,0,0
Delaware,512905,52672,66594,397204,40791,396784,51518,258688,26.6,258340,33.5,135570,13.9,135500,17.6,261105,238400,13400,0,6761,171924,218472,47,61680,66749,7124,17,61668,66691,7124,17,128446,26.6,258340,33.5,13.2,128376,16.7,258688,143481,76,83941,44.4,39860,39321,4749,11,228187,120794,271513
Florida,11416495,53155,66191,8396727,39095,8385840,48620,5255602,24.5,5246048,30.4,2938265,13.7,2936996,17,5737095,5309400,370000,0,180922,4053399,4151061,11345,1359089,1395684,179738,3754,1358509,1395069,179664,3754,2758527,24.5,5246048,30.4,12.8,2757332,16,5255602,3250602,72.3,2134690,47.5,1029117,1039349,63004,3220,5669074,126054,253850
Federated States of Micronesia,47400,45734,58633,22767,21967,22762,28156,13815,13.3,13810,17.1,9001,8.7,9001,11.1,0,46600,800,0,0,22767,0,0,8981,19,1,0,8981,19,1,0,9000,13.3,13810,17.1,8.7,9000,11.1,13815,1332,7.6,962,5.5,958,4,0,0,2267,12867,269028
Georgia,4986855,46969,61463,3362513,31670,3357315,41379,2121979,20,2117311,26.1,1191691,11.2,1191092,14.7,2404155,2443100,139600,0,55544,1765872,1540848,249,628554,509906,53071,160,628482,509483,52967,160,1138620,20,2117311,26.1,10.7,1138125,14,2121979,995195,65.6,702354,46.3,413119,282486,6648,101,1755294,115712,328741
Guam,87860,53002,67951,77636,46834,77565,59989,45768,27.6,45717,35.4,31123,18.8,31105,24.1,48360,38200,1300,0,28,37184,40424,0,15468,15627,28,0,15466,15611,28,0,31095,27.6,45717,35.4,18.8,31077,24,45768,11938,42.4,9895,35.1,4348,5541,6,0,22005,78085,311770
Hawaii,832800,58819,74623,632086,44643,630742,56518,404267,28.6,402552,36.1,238370,16.8,238108,21.3,440700,372000,20100,0,6856,225911,305559,93760,90732,122676,6942,18020,90687,122491,6927,18003,231428,28.6,402552,36.1,16.3,231181,20.7,404267,156420,58.3,92121,34.3,44118,44422,2174,1407,244656,91137,310228
Iowa,1570955,49791,64696,1346156,42666,1343501,55328,860056,27.3,858183,35.3,523340,16.6,522513,21.5,734955,790900,45100,0,35497,706580,603960,119,263992,223541,35790,17,263981,222736,35779,17,487550,27.3,858183,35.3,15.5,486734,20,860056,423182,76.5,272960,49.4,138089,131997,2863,11,692839,125298,284102
Idaho,848205,47464,63353,666389,37290,666361,49771,409788,22.9,409755,30.6,257701,14.4,257685,19.2,401505,423300,23400,0,11838,329030,325299,222,125035,120998,11620,48,125033,120990,11614,48,246081,22.9,409755,30.6,13.8,246071,18.4,409788,199878,68.8,138720,47.7,62829,72263,3601,27,336412,115737,291810
Indian Health Svc,1418595,68110,N/A,876022,42060,863396,N/A,556361,26.7,547282,N/A,318658,15.3,315158,N/A,581295,809600,27700,0,5924,488646,381452,0,165448,147399,5811,0,165369,143986,5803,0,312847,26.7,547282,N/A,15,309355,0,556361,130557,0,91893,0,51226,40081,586,0,224745,0,0
Illinois,6452075,50917,65477,5177472,40858,5165147,52417,3399403,26.8,3389884,34.4,1840517,14.5,1837640,18.6,3245775,3028500,177800,0,97107,2486021,2592191,2153,843763,901568,94496,690,843523,899107,94321,689,1746021,26.8,3389884,34.4,13.8,1743319,17.7,3399403,1415958,69.3,822896,40.3,400568,400591,21286,451,2214050,108360,315778
Indiana,3161270,46957,61215,2488889,36970,2487570,48169,1522442,22.6,1521497,29.5,989857,14.7,989466,19.2,1565070,1498500,97700,0,41687,1139312,1304429,3461,449755,496968,41922,1212,449721,496614,41919,1212,947935,22.6,1521497,29.5,14.1,947547,18.3,1522442,762591,70.2,620020,57.1,325384,287974,5765,897,1395804,128557,291162
Kansas,1565335,53730,70732,1115858,38302,1113522,50316,762289,26.2,760395,34.4,410299,14.1,409641,18.5,727935,797700,39700,0,15571,589190,510876,221,208937,185155,16114,93,208915,184526,16107,93,394185,26.2,760395,34.4,13.5,393534,17.8,762289,360943,75.9,202681,42.6,102737,95541,4342,61,537703,113085,329207
Kentucky,2228035,49870,64305,1838590,41153,1834518,52947,1249160,28,1246233,36,644909,14.4,644414,18.6,1106235,1066100,55700,0,39809,886727,911930,124,293637,313515,37670,87,293619,313055,37653,87,607239,28,1246233,36,13.6,606761,17.5,1249160,516066,68.8,299624,39.9,119213,168730,11623,58,787417,104910,296848
Louisiana,2363200,50835,66360,1725080,37108,1722996,48383,1094503,23.5,1092600,30.7,643026,13.8,642853,18.1,1166100,1133700,63400,0,45578,758457,920242,803,238072,360297,44296,361,238055,360170,44268,360,598730,23.5,1092600,30.7,12.9,598585,16.8,1094503,500324,67.5,382812,51.7,162932,209558,10251,71,890916,120228,318911
Massachusetts,3557950,51621,64226,3131419,45432,3124270,56398,2067842,30,2062795,37.2,1110288,16.1,1108311,20,1706250,1752200,99500,0,75527,1535964,1519878,50,498669,536099,75512,8,498550,534280,75473,8,1034776,30,2062795,37.2,15,1032838,18.6,2067842,907880,77.6,527758,45.1,212401,278391,36962,4,1399433,119678,304272
Maryland,3079020,50929,65358,2409705,39858,2404872,51048,1632393,27,1628426,34.6,879431,14.5,878586,18.6,1551420,1445500,82100,0,60343,1156171,1191681,1510,395301,424498,59221,411,395257,423709,59209,411,820210,27,1628426,34.6,13.6,819377,17.4,1632393,684104,71.3,384550,40.1,175766,184980,23612,192,1027347,107083,320933
Maine,715360,53218,65308,599839,44624,599312,54713,402086,29.9,401745,36.7,221872,16.5,221669,20.2,333060,360800,21500,0,18296,295698,285807,38,102714,100745,18405,8,102693,100567,18401,8,203467,29.9,401745,36.7,15.1,203268,18.6,402086,224125,78.6,129077,45.2,52480,66864,9729,4,341437,119691,250770
Marshall Islands,35800,61288,78574,19083,32669,19050,41811,12150,20.8,12120,26.6,6888,11.8,6883,15.1,0,35000,800,0,0,19083,0,0,6884,2,2,0,6879,2,2,0,6886,20.8,12120,26.6,11.8,6881,15.1,12150,820,8.3,507,5.1,505,0,2,0,1328,13374,360524
Michigan,5060850,50675,64528,3841144,38462,3837704,48932,2508416,25.1,2505687,31.9,1429276,14.3,1428515,18.2,2501850,2418500,140500,0,58396,1823121,1959627,0,607640,762303,59276,57,607572,761639,59247,57,1370000,25.1,2505687,31.9,13.7,1369268,17.5,2508416,1207341,68.4,767984,43.5,350015,399191,18732,46,1931612,109415,286669
Minnesota,2814760,49910,64909,2380640,42213,2376523,54803,1560304,27.7,1556966,35.9,884027,15.7,883192,20.4,1386060,1352500,76200,0,52363,1107627,1220455,195,373080,458190,52711,46,373045,457406,52695,46,831316,27.7,1556966,35.9,14.7,830497,19.2,1560304,733905,79.7,457265,49.7,183330,244905,29012,18,1146648,124584,305825
Missouri,3026395,49310,63488,2229686,36329,2226949,46717,1423166,23.2,1421093,29.8,771381,12.6,770855,16.2,1536795,1404800,84800,0,35542,921111,1272730,303,285711,448763,36871,36,285676,448286,36858,35,734510,23.2,1421093,29.8,12,733997,15.4,1423166,675689,63.6,390059,36.7,164279,213687,12078,15,1089127,102551,284961
Northern Mariana Islands,44110,77546,99418,25607,45018,25564,57618,14895,26.2,14864,33.5,10727,18.9,10715,24.2,30810,12800,500,0,29,3293,22285,0,1126,9571,30,0,1126,9559,30,0,10697,26.2,14864,33.5,18.8,10685,24.1,14895,2226,23,2011,20.8,285,1699,27,0,4212,43557,456153
Mississippi,1502835,50496,65984,1025205,34447,1024281,44973,666971,22.4,666189,29.3,380419,12.8,380285,16.7,692835,768400,41600,0,22297,528702,473477,729,185315,173407,21685,12,185293,173301,21679,12,358734,22.4,666189,29.3,12.1,358606,15.7,666971,304633,62.6,205362,42.2,107073,91680,6605,4,498456,102417,308785
Montana,589585,55164,70173,455003,42572,453587,53986,290203,27.2,289134,34.4,172922,16.2,172587,20.5,269685,303600,16300,0,7378,240536,206978,111,88278,77269,7347,28,88259,76956,7344,28,165575,27.2,289134,34.4,15.5,165243,19.7,290203,138443,67.1,93101,45.1,45093,45714,2280,14,227569,110237,285600
North Carolina,5239330,49955,63993,4167233,39733,4155750,50758,2726114,26,2715790,33.2,1489849,14.2,1488543,18.2,2674230,2419700,145400,0,109518,1784396,2272990,329,559749,822536,107538,26,559620,821564,107333,26,1382311,26,2715790,33.2,13.2,1381210,16.9,2726114,1224574,69.9,915724,52.3,411635,488462,15607,20,2168540,123839,299203
North Dakota,412210,54091,70840,363148,47653,361923,62198,222233,29.2,221312,38,130409,17.1,130166,22.4,194610,206500,11100,0,7268,173250,182630,0,60291,63547,6571,0,60273,63328,6565,0,123838,29.2,221312,38,16.3,123601,21.2,222233,90243,75.3,66704,55.7,32499,32996,1209,0,162328,135448,343953
Nebraska,1012960,52365,69460,818325,42304,816602,55996,529612,27.4,528330,36.2,301976,15.6,301525,20.7,508560,473000,31400,0,19831,384132,412762,1600,134872,146309,20378,417,134843,145893,20372,417,281598,27.4,528330,36.2,14.6,281153,19.3,529612,238109,76.2,152308,48.7,67749,82706,1532,321,393006,125779,324191
New Hampshire,680185,50024,61585,554889,40809,553341,50101,390003,28.7,388825,35.2,200089,14.7,199725,18.1,316485,344000,19700,0,13762,298148,242952,27,112701,73056,14327,5,112623,72784,14313,5,185762,28.7,388825,35.2,13.7,185412,16.8,390003,206111,81.2,99854,39.3,52874,38509,8469,2,287816,113374,267933
New Jersey,4419385,49756,63647,3781744,42577,3768439,54272,2606788,29.3,2596590,37.4,1368524,15.4,1365386,19.7,2188485,2110300,120600,0,76776,1858508,1845985,475,619993,671820,76704,7,619903,668793,76683,7,1291820,29.3,2596590,37.4,14.5,1288703,18.6,2606788,980044,66.4,567765,38.5,253831,291728,22201,5,1487365,100802,299511
New Mexico,1268025,60473,78225,1111612,53014,1103218,68058,706947,33.7,700386,43.2,431463,20.6,428235,26.4,638625,596200,33200,0,16592,505473,588182,1365,178218,236696,16202,347,178134,233579,16175,347,415261,33.7,700386,43.2,19.8,412060,25.4,706947,258417,68.4,170483,45.1,76664,87652,5956,211,417716,110622,335806
Nevada,1491350,48418,62464,1185896,38501,1184629,49618,757829,24.6,756864,31.7,423335,13.7,423058,17.7,731250,719800,40300,0,22784,530560,632552,0,181313,219447,22574,1,181293,219192,22572,1,400761,24.6,756864,31.7,13,400486,16.8,757829,330834,66.7,216172,43.6,94983,113764,7425,0,553665,111632,300692
New York State,10217925,52525,66242,7836940,40285,7821257,50704,5288759,27.2,5275569,34.2,2595344,13.3,2592666,16.8,5209425,4753700,254800,0,171632,3687422,3976885,1001,1178026,1246887,170239,192,1177863,1244407,170204,192,2425105,27.2,5275569,34.2,12.5,2422462,15.7,5288759,2059895,62.5,1134644,34.4,529131,553102,52288,123,3143037,95355,309996
Ohio,5857825,50114,64293,4582163,39200,4577343,50239,2965678,25.4,2962288,32.5,1689653,14.5,1688215,18.5,2908425,2779900,169500,0,126388,2230355,2221624,3796,787120,777077,124423,1033,787072,775711,124403,1029,1565230,25.4,2962288,32.5,13.4,1563812,17.2,2965678,1425452,69.7,950774,46.5,416265,496957,36850,702,2363100,115480,286261
Oklahoma,2393005,60476,79641,1717541,43405,1709998,56910,1111515,28.1,1104931,36.8,600632,15.2,599893,20,1142505,1187700,62800,0,23175,794980,899376,10,260438,317137,23056,1,260417,316428,23047,1,577576,28.1,1104931,36.8,14.6,576846,19.2,1111515,453086,71.3,328483,51.7,171065,151871,5547,0,783948,123431,376773
Oregon,2140945,50761,63886,1626721,38569,1621854,48397,1044742,24.8,1041595,31.1,608702,14.4,606995,18.1,1043445,1035700,61800,0,33723,785927,806001,1070,275907,299059,33561,175,275740,297536,33544,175,575141,24.8,1041595,31.1,13.6,573451,17.1,1044742,512939,67,233804,30.5,95387,116702,21631,84,719411,93908,279468
Pennsylvania,6713715,52443,66032,5290020,41322,5279306,51924,3578990,28,3570941,35.1,1828033,14.3,1825358,18,3298815,3220500,194400,0,113760,2515953,2660193,114,842250,870015,115681,87,842072,867527,115673,86,1712352,28,3570941,35.1,13.4,1709685,16.8,3578990,1624621,67.9,845579,35.3,421343,409108,15076,52,2461758,102858,280514
Puerto Rico,1708790,53505,65197,920753,28830,920194,35109,596224,18.7,595761,22.7,339041,10.6,338914,12.9,846690,816400,45700,0,10163,379208,531132,250,134876,193909,10249,7,134856,193810,10241,7,328792,18.7,595761,22.7,10.3,328673,12.5,596224,280139,51.6,142933,26.3,64337,76086,2510,0,417087,76822,314736
Rhode Island,567575,53577,66393,488045,46070,487452,57021,317684,30,317245,37.1,180299,17,180151,21.1,277875,274800,14900,0,10847,238306,238891,1,90391,79173,10734,1,90387,79029,10734,1,169565,30,317245,37.1,16,169417,19.8,317684,152342,81.4,87452,46.8,39522,46227,1703,0,237237,126834,303441
Republic of Palau,14800,82649,105964,12644,70609,12644,90528,8284,46.3,8284,59.3,4521,25.2,4521,32.4,0,14600,200,0,40,12603,1,0,4468,13,40,0,4468,13,40,0,4481,46.3,8284,59.3,25,4481,32.1,8284,1374,45.1,1238,40.7,1223,8,7,0,2570,84428,486202
South Carolina,2417045,46945,59864,1889498,36698,1886738,46730,1238605,24.1,1236298,30.6,673354,13.1,672892,16.7,1254045,1088200,74800,0,36152,716905,1135416,1025,212856,424847,35449,202,212827,424441,35422,202,637905,24.1,1236298,30.6,12.4,637470,15.8,1238605,663218,70.8,444969,47.5,162034,275414,7382,139,1101403,117543,257949
South Dakota,546375,61761,81847,436290,49317,434961,65157,274493,31,273541,41,168245,19,167877,25.1,254475,278300,13600,0,5574,217481,213222,13,80892,81728,5620,5,80878,81375,5619,5,162625,31,273541,41,18.4,162258,24.3,274493,125055,82.3,91802,60.4,43328,47503,969,2,214560,141278,359763
Tennessee,3222500,47187,60583,2297569,33643,2294992,43146,1495500,21.9,1493152,28.1,793358,11.6,793093,14.9,1521000,1616700,84800,0,36542,1085548,1172780,2699,338318,417714,36601,725,338301,417523,36545,724,756757,21.9,1493152,28.1,11.1,756548,14.2,1495500,719949,63,448282,39.2,215983,224139,7666,494,1182686,103437,281837
Texas,14008165,48311,64864,9841589,33941,9797010,45365,6453836,22.3,6423833,29.7,3235291,11.2,3220251,14.9,7138365,6432800,437000,0,231906,4566585,5042705,393,1438702,1568553,227787,249,1432014,1561261,226728,248,3007813,22.3,6423833,29.7,10.4,2993830,13.9,6453836,2657690,71.2,1454587,39,646840,705221,102413,112,3805164,101900,375129
Utah,1418890,44258,62375,1178663,36765,1174644,51638,722387,22.5,719344,31.6,319752,10,319100,14,663390,716100,39400,0,28743,547522,602398,0,141181,151225,27346,0,141128,150650,27322,0,292406,22.5,719344,31.6,9.1,291778,12.8,722387,267410,73.1,133879,36.6,50252,77801,5826,0,452134,123577,387810
Virginia,4245195,49736,63602,3469776,40651,3460647,51847,2279224,26.7,2272042,34,1258941,14.7,1257002,18.8,2133495,2009400,102300,0,84367,1582620,1802177,612,547411,627378,83980,172,547172,625810,83848,172,1174961,26.7,2272042,34,13.8,1173154,17.6,2279224,948055,69.8,553752,40.7,245888,278120,29622,122,1474347,108495,312398
Veterans Health,4156935,N/A,N/A,3558131,N/A,3557993,N/A,2164918,N/A,2164832,N/A,1440937,N/A,1440882,N/A,1866735,2207100,83100,0,49405,1908374,1600351,1,742391,649166,49380,0,742374,649131,49377,0,1391557,N/A,2164832,N/A,0,1391505,0,2164918,1302951,0,995409,0,538570,437964,18875,0,2279875,0,0
Virgin Islands,52180,49847,63907,34472,32931,34250,41947,21824,20.8,21666,26.5,11235,10.7,11199,13.7,31980,19800,400,0,0,14281,20191,0,5567,5662,6,0,5562,5631,6,0,11229,20.8,21666,26.5,10.7,11193,13.7,21824,7821,43.9,4835,27.2,2686,2144,5,0,12755,71673,293212
Vermont,355290,56939,69667,286384,45896,285904,56061,185840,29.8,185493,36.4,98352,15.8,98213,19.3,171990,174000,9300,0,4447,141804,139902,231,46965,46993,4329,65,46954,46868,4326,65,94023,29.8,185493,36.4,15.1,93887,18.4,185840,103754,83,47463,38,20784,26561,76,42,154998,123960,284143
Washington,3927360,51575,65986,3108315,40819,3101981,52118,2008970,26.4,2003861,33.7,1139184,15,1137963,19.1,1963260,1862100,102000,0,60114,1474731,1571022,2448,551153,527119,60475,437,551088,525970,60468,437,1078709,26.4,2003861,33.7,14.2,1077495,18.1,2008970,914703,75.6,609459,50.4,301001,285286,22846,326,1514191,125168,324650
Wisconsin,2884825,49547,63322,2516425,43219,2511221,55121,1605873,27.6,1601630,35.2,929080,16,928215,20.4,1418625,1391400,74800,0,44521,1165021,1306680,203,406935,478792,43296,57,406906,477985,43267,57,885784,27.6,1601630,35.2,15.2,884948,19.4,1605873,792620,77.9,541084,53.2,264354,271785,4915,30,1351994,132908,283593
West Virginia,992855,55400,69305,777941,43408,776306,54189,482432,26.9,481103,33.6,292335,16.3,292054,20.4,465855,499700,27300,0,4539,389189,384213,0,140052,147173,5093,17,139996,146952,5089,17,287242,26.9,481103,33.6,16,286965,20,482432,233425,63.6,163206,44.5,79257,82722,1216,11,398983,108711,270525
Wyoming,336475,58137,75608,235424,40677,235046,52816,142147,24.6,141848,31.9,92428,16,92346,20.8,153075,174300,9100,0,3162,118672,113510,80,44911,44509,2993,15,44908,44431,2992,15,89435,24.6,141848,31.9,15.5,89354,20.1,142147,65812,66.4,52582,53,26715,25260,599,8,118363,119343,339260
